Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick                  Q_brick                  V_out                    P_out                    E_out                    
 0.00000E+00   2.00000E+05   8.00000E+02   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.55000E-11   2.00000E+05   8.00000E+02   1.02437E-13   1.07809E+06   1.34615E-06   4.45796E-07   1.84986E-01   6.74602E-12   4.62465E-01   8.55496E-02   1.96994E-12
 1.51500E-10   2.00000E+05   8.00000E+02   1.34478E-12   3.79614E+05   6.50348E-06   7.51266E-07   5.24181E-01   3.26391E-11   1.31045E+00   6.86913E-01   2.58611E-11
 2.27500E-10   2.00000E+05   8.00000E+02   7.69356E-12   1.83954E+05   1.83626E-05   1.07922E-06   1.07874E+00   9.23273E-11   2.69686E+00   2.90922E+00   1.47953E-10
 3.03500E-10   2.00000E+05   8.00000E+02   2.95013E-11   1.04609E+05   4.04481E-05   1.43114E-06   1.89084E+00   2.03818E-10   4.72709E+00   8.93815E+00   5.67332E-10
 3.79500E-10   2.00000E+05   8.00000E+02   8.86877E-11   6.56857E+04   7.68516E-05   1.80605E-06   3.00014E+00   3.88227E-10   7.50035E+00   2.25021E+01   1.70553E-09
 4.55500E-10   2.00000E+05   8.00000E+02   2.25824E-10   4.41625E+04   1.32177E-04   2.20261E-06   4.44386E+00   6.69591E-10   1.11096E+01   4.93697E+01   4.34277E-09
 5.31500E-10   2.00000E+05   8.00000E+02   5.09220E-10   3.12246E+04   2.11485E-04   2.61949E-06   6.25659E+00   1.07467E-09   1.56415E+01   9.78623E+01   9.79270E-09
 6.07500E-10   2.00000E+05   8.00000E+02   1.04604E-09   2.29502E+04   3.20231E-04   3.05542E-06   8.47031E+00   1.63277E-09   2.11758E+01   1.79365E+02   2.01162E-08
 6.83500E-10   2.00000E+05   8.00000E+02   1.99540E-09   1.73980E+04   4.64213E-04   3.50926E-06   1.11143E+01   2.37549E-09   2.77857E+01   3.08818E+02   3.83731E-08
 7.59500E-10   2.00000E+05   8.00000E+02   3.58336E-09   1.35263E+04   6.49509E-04   3.97994E-06   1.42151E+01   3.33659E-09   3.55378E+01   5.05175E+02   6.89108E-08
 8.35500E-10   2.00000E+05   8.00000E+02   6.11960E-09   1.07399E+04   8.82427E-04   4.46648E-06   1.77968E+01   4.55172E-09   4.44920E+01   7.91816E+02   1.17685E-07
 9.11500E-10   2.00000E+05   8.00000E+02   1.00157E-08   8.68096E+03   1.16945E-03   4.96799E-06   2.18807E+01   6.05826E-09   5.47017E+01   1.19691E+03   1.92609E-07
 9.87500E-10   2.00000E+05   8.00000E+02   1.58047E-08   7.12512E+03   1.51718E-03   5.48364E-06   2.64857E+01   7.89513E-09   6.62142E+01   1.75373E+03   3.03936E-07
 1.06350E-09   2.00000E+05   8.00000E+02   2.41616E-08   5.92649E+03   1.93230E-03   6.01265E-06   3.16283E+01   1.01026E-08   7.90707E+01   2.50087E+03   4.64646E-07
 1.13950E-09   2.00000E+05   8.00000E+02   3.59251E-08   4.98743E+03   2.42154E-03   6.55430E-06   3.73227E+01   1.27220E-08   9.33069E+01   3.48247E+03   6.90868E-07
 1.21550E-09   2.00000E+05   8.00000E+02   5.21196E-08   4.24075E+03   2.99161E-03   7.10793E-06   4.35812E+01   1.57959E-08   1.08953E+02   4.74830E+03   1.00230E-06
 1.29150E-09   2.00000E+05   8.00000E+02   7.39776E-08   3.63923E+03   3.64920E-03   7.67291E-06   5.04137E+01   1.93675E-08   1.26034E+02   6.35385E+03   1.42265E-06
 1.36750E-09   2.00000E+05   8.00000E+02   1.02962E-07   3.14894E+03   4.40092E-03   8.24865E-06   5.78285E+01   2.34807E-08   1.44571E+02   8.36035E+03   1.98005E-06
 1.44350E-09   2.00000E+05   8.00000E+02   1.40790E-07   2.74508E+03   5.25331E-03   8.83460E-06   6.58322E+01   2.81800E-08   1.64581E+02   1.08347E+04   2.70751E-06
 1.51950E-09   2.00000E+05   8.00000E+02   1.89454E-07   2.40926E+03   6.21277E-03   9.43025E-06   7.44297E+01   3.35105E-08   1.86074E+02   1.38495E+04   3.64335E-06
 1.59550E-09   2.00000E+05   8.00000E+02   2.51244E-07   2.12758E+03   7.28558E-03   1.00351E-05   8.36246E+01   3.95174E-08   2.09061E+02   1.74827E+04   4.83162E-06
 1.67150E-09   2.00000E+05   8.00000E+02   3.28769E-07   1.88945E+03   8.47786E-03   1.06487E-05   9.34188E+01   4.62461E-08   2.33547E+02   2.18177E+04   6.32248E-06
 1.74750E-09   2.00000E+05   8.00000E+02   4.24978E-07   1.68668E+03   9.79557E-03   1.12706E-05   1.03814E+02   5.37424E-08   2.59534E+02   2.69431E+04   8.17266E-06
 1.82350E-09   2.00000E+05   8.00000E+02   5.43181E-07   1.51286E+03   1.12445E-02   1.19005E-05   1.14809E+02   6.20517E-08   2.87021E+02   3.29525E+04   1.04458E-05
 1.89950E-09   2.00000E+05   8.00000E+02   6.87067E-07   1.36296E+03   1.28303E-02   1.25379E-05   1.26403E+02   7.12198E-08   3.16007E+02   3.99441E+04   1.32128E-05
 1.97550E-09   2.00000E+05   8.00000E+02   8.60721E-07   1.23293E+03   1.45582E-02   1.31824E-05   1.38594E+02   8.12920E-08   3.46486E+02   4.80209E+04   1.65523E-05
 2.05150E-09   2.00000E+05   8.00000E+02   1.06865E-06   1.11956E+03   1.64336E-02   1.38338E-05   1.51380E+02   9.23136E-08   3.78450E+02   5.72898E+04   2.05509E-05
 2.12750E-09   2.00000E+05   8.00000E+02   1.31577E-06   1.02021E+03   1.84615E-02   1.44917E-05   1.64757E+02   1.04330E-07   4.11892E+02   6.78621E+04   2.53033E-05
 2.20350E-09   2.00000E+05   8.00000E+02   1.60748E-06   9.32762E+02   2.06467E-02   1.51558E-05   1.78721E+02   1.17385E-07   4.46802E+02   7.98527E+04   3.09131E-05
 2.27950E-09   2.00000E+05   8.00000E+02   1.94962E-06   8.55453E+02   2.29938E-02   1.58258E-05   1.93267E+02   1.31524E-07   4.83167E+02   9.33800E+04   3.74926E-05
 2.35550E-09   2.00000E+05   8.00000E+02   2.34849E-06   7.86833E+02   2.55072E-02   1.65015E-05   2.08390E+02   1.46791E-07   5.20975E+02   1.08566E+05   4.51633E-05
 2.43150E-09   2.00000E+05   8.00000E+02   2.81091E-06   7.25695E+02   2.81911E-02   1.71826E-05   2.24085E+02   1.63229E-07   5.60211E+02   1.25535E+05   5.40559E-05
 2.50750E-09   2.00000E+05   8.00000E+02   3.34417E-06   6.71030E+02   3.10497E-02   1.78687E-05   2.40345E+02   1.80882E-07   6.00863E+02   1.44414E+05   6.43109E-05
 2.58350E-09   2.00000E+05   8.00000E+02   3.95608E-06   6.21987E+02   3.40866E-02   1.85598E-05   2.57165E+02   1.99793E-07   6.42913E+02   1.65335E+05   7.60785E-05
 2.65950E-09   2.00000E+05   8.00000E+02   4.65498E-06   5.77849E+02   3.73057E-02   1.92556E-05   2.74538E+02   2.20002E-07   6.86345E+02   1.88428E+05   8.95188E-05
 2.73550E-09   2.00000E+05   8.00000E+02   5.44972E-06   5.38006E+02   4.07103E-02   1.99559E-05   2.92458E+02   2.41554E-07   7.31144E+02   2.13829E+05   1.04802E-04
 2.81150E-09   2.00000E+05   8.00000E+02   6.34968E-06   5.01939E+02   4.43037E-02   2.06604E-05   3.10917E+02   2.64488E-07   7.77292E+02   2.41673E+05   1.22109E-04
 2.88750E-09   2.00000E+05   8.00000E+02   7.36481E-06   4.69201E+02   4.80891E-02   2.13691E-05   3.29908E+02   2.88845E-07   8.24771E+02   2.72099E+05   1.41631E-04
 2.96350E-09   2.00000E+05   8.00000E+02   8.50558E-06   4.39409E+02   5.20695E-02   2.20816E-05   3.49425E+02   3.14667E-07   8.73563E+02   3.05245E+05   1.63569E-04
 3.03950E-09   2.00000E+05   8.00000E+02   9.78304E-06   4.12231E+02   5.62476E-02   2.27979E-05   3.69460E+02   3.41991E-07   9.23651E+02   3.41253E+05   1.88135E-04
 3.11550E-09   2.00000E+05   8.00000E+02   1.12087E-05   3.87381E+02   6.06260E-02   2.35177E-05   3.90006E+02   3.70858E-07   9.75016E+02   3.80262E+05   2.15553E-04
 3.19150E-09   2.00000E+05   8.00000E+02   1.27949E-05   3.64610E+02   6.52073E-02   2.42410E-05   4.11056E+02   4.01305E-07   1.02764E+03   4.22417E+05   2.46056E-04
 3.26750E-09   2.00000E+05   8.00000E+02   1.45541E-05   3.43698E+02   6.99937E-02   2.49676E-05   4.32601E+02   4.33372E-07   1.08150E+03   4.67859E+05   2.79887E-04
 3.34350E-09   2.00000E+05   8.00000E+02   1.64998E-05   3.24457E+02   7.49875E-02   2.56972E-05   4.54635E+02   4.67095E-07   1.13659E+03   5.16733E+05   3.17304E-04
 3.41950E-09   2.00000E+05   8.00000E+02   1.86458E-05   3.06717E+02   8.01908E-02   2.64299E-05   4.77151E+02   5.02511E-07   1.19288E+03   5.69182E+05   3.58572E-04
 3.49550E-09   2.00000E+05   8.00000E+02   2.10064E-05   2.90332E+02   8.56053E-02   2.71655E-05   5.00140E+02   5.39657E-07   1.25035E+03   6.25350E+05   4.03968E-04
 3.57150E-09   1.99999E+05   7.99994E+02   2.35966E-05   2.75172E+02   9.12329E-02   2.79038E-05   5.23596E+02   5.78568E-07   1.30899E+03   6.85382E+05   4.53781E-04
 3.64750E-09   1.99998E+05   7.99983E+02   2.64321E-05   2.61121E+02   9.70753E-02   2.86447E-05   5.47511E+02   6.19279E-07   1.36878E+03   7.49421E+05   5.08310E-04
 3.72350E-09   1.99996E+05   7.99970E+02   2.95290E-05   2.48077E+02   1.03134E-01   2.93881E-05   5.71877E+02   6.61825E-07   1.42969E+03   8.17610E+05   5.67865E-04
 3.79950E-09   1.99995E+05   7.99958E+02   3.29039E-05   2.35948E+02   1.09411E-01   3.01340E-05   5.96688E+02   7.06240E-07   1.49172E+03   8.90092E+05   6.32766E-04
 3.87550E-09   1.99993E+05   7.99946E+02   3.65740E-05   2.24654E+02   1.15906E-01   3.08822E-05   6.21937E+02   7.52558E-07   1.55484E+03   9.67013E+05   7.03345E-04
 3.95150E-09   1.99992E+05   7.99934E+02   4.05573E-05   2.14122E+02   1.22622E-01   3.16325E-05   6.47615E+02   8.00811E-07   1.61904E+03   1.04851E+06   7.79947E-04
 4.02750E-09   1.99990E+05   7.99922E+02   4.48721E-05   2.04287E+02   1.29560E-01   3.23851E-05   6.73717E+02   8.51032E-07   1.68429E+03   1.13474E+06   8.62923E-04
 4.10350E-09   1.99989E+05   7.99910E+02   4.95373E-05   1.95090E+02   1.36720E-01   3.31396E-05   7.00235E+02   9.03252E-07   1.75059E+03   1.22582E+06   9.52639E-04
 4.17950E-09   1.99987E+05   7.99897E+02   5.45724E-05   1.86479E+02   1.44103E-01   3.38961E-05   7.27163E+02   9.57505E-07   1.81791E+03   1.32191E+06   1.04947E-03
 4.25550E-09   1.99986E+05   7.99885E+02   5.99976E-05   1.78407E+02   1.51711E-01   3.46544E-05   7.54494E+02   1.01382E-06   1.88623E+03   1.42315E+06   1.15380E-03
 4.33150E-09   1.99984E+05   7.99873E+02   6.58334E-05   1.70831E+02   1.59544E-01   3.54146E-05   7.82221E+02   1.07223E-06   1.95555E+03   1.52968E+06   1.26603E-03
 4.40750E-09   1.99983E+05   7.99861E+02   7.21009E-05   1.63711E+02   1.67602E-01   3.61764E-05   8.10338E+02   1.13275E-06   2.02585E+03   1.64162E+06   1.38656E-03
 4.48350E-09   1.99981E+05   7.99848E+02   7.88220E-05   1.57014E+02   1.75887E-01   3.69399E-05   8.38839E+02   1.19543E-06   2.09710E+03   1.75913E+06   1.51581E-03
 4.55950E-09   1.99979E+05   7.99835E+02   8.60188E-05   1.50707E+02   1.84399E-01   3.77050E-05   8.67717E+02   1.26030E-06   2.16929E+03   1.88233E+06   1.65421E-03
 4.63550E-09   1.99978E+05   7.99821E+02   9.37141E-05   1.44761E+02   1.93138E-01   3.84715E-05   8.96966E+02   1.32737E-06   2.24241E+03   2.01137E+06   1.80220E-03
 4.71150E-09   1.99976E+05   7.99807E+02   1.01931E-04   1.39150E+02   2.02105E-01   3.92395E-05   9.26578E+02   1.39667E-06   2.31645E+03   2.14637E+06   1.96022E-03
 4.78750E-09   1.99974E+05   7.99792E+02   1.10694E-04   1.33849E+02   2.11300E-01   4.00089E-05   9.56550E+02   1.46824E-06   2.39137E+03   2.28747E+06   2.12874E-03
 4.86350E-09   1.99972E+05   7.99776E+02   1.20027E-04   1.28838E+02   2.20723E-01   4.07796E-05   9.86874E+02   1.54211E-06   2.46719E+03   2.43480E+06   2.30822E-03
 4.93950E-09   1.99970E+05   7.99759E+02   1.29955E-04   1.24095E+02   2.30375E-01   4.15516E-05   1.01754E+03   1.61829E-06   2.54386E+03   2.58849E+06   2.49914E-03
 5.01550E-09   1.99968E+05   7.99742E+02   1.40503E-04   1.19603E+02   2.40256E-01   4.23248E-05   1.04856E+03   1.69681E-06   2.62139E+03   2.74868E+06   2.70199E-03
 5.09150E-09   1.99966E+05   7.99725E+02   1.51698E-04   1.15343E+02   2.50366E-01   4.30991E-05   1.07990E+03   1.77771E-06   2.69976E+03   2.91548E+06   2.91727E-03
 5.16750E-09   1.99964E+05   7.99708E+02   1.63565E-04   1.11302E+02   2.60705E-01   4.38746E-05   1.11158E+03   1.86100E-06   2.77895E+03   3.08903E+06   3.14548E-03
 5.24350E-09   1.99961E+05   7.99691E+02   1.76132E-04   1.07465E+02   2.71273E-01   4.46511E-05   1.14358E+03   1.94671E-06   2.85895E+03   3.26944E+06   3.38715E-03
 5.31950E-09   1.99959E+05   7.99674E+02   1.89426E-04   1.03817E+02   2.82070E-01   4.54286E-05   1.17590E+03   2.03486E-06   2.93975E+03   3.45686E+06   3.64280E-03
 5.39550E-09   1.99957E+05   7.99657E+02   2.03474E-04   1.00349E+02   2.93096E-01   4.62072E-05   1.20854E+03   2.12549E-06   3.02134E+03   3.65139E+06   3.91296E-03
 5.47150E-09   1.99955E+05   7.99640E+02   2.18306E-04   9.70470E+01   3.04351E-01   4.69866E-05   1.24148E+03   2.21860E-06   3.10369E+03   3.85316E+06   4.19819E-03
 5.54750E-09   1.99953E+05   7.99623E+02   2.33950E-04   9.39021E+01   3.15835E-01   4.77669E-05   1.27472E+03   2.31423E-06   3.18680E+03   4.06229E+06   4.49904E-03
 5.62350E-09   1.99951E+05   7.99605E+02   2.50435E-04   9.09045E+01   3.27547E-01   4.85481E-05   1.30827E+03   2.41240E-06   3.27066E+03   4.27890E+06   4.81607E-03
 5.69950E-09   1.99948E+05   7.99587E+02   2.67792E-04   8.80453E+01   3.39487E-01   4.93301E-05   1.34210E+03   2.51313E-06   3.35526E+03   4.50310E+06   5.14985E-03
 5.77550E-09   1.99946E+05   7.99568E+02   2.86050E-04   8.53163E+01   3.51655E-01   5.01128E-05   1.37623E+03   2.61644E-06   3.44057E+03   4.73502E+06   5.50096E-03
 5.85150E-09   1.99944E+05   7.99549E+02   3.05240E-04   8.27098E+01   3.64051E-01   5.08963E-05   1.41064E+03   2.72236E-06   3.52660E+03   4.97475E+06   5.87000E-03
 5.92750E-09   1.99941E+05   7.99530E+02   3.25393E-04   8.02188E+01   3.76675E-01   5.16805E-05   1.44533E+03   2.83090E-06   3.61332E+03   5.22242E+06   6.25757E-03
 6.00350E-09   1.99939E+05   7.99511E+02   3.46542E-04   7.78366E+01   3.89526E-01   5.24654E-05   1.48029E+03   2.94209E-06   3.70073E+03   5.47815E+06   6.66426E-03
 6.07950E-09   1.99936E+05   7.99492E+02   3.68717E-04   7.55572E+01   4.02603E-01   5.32509E-05   1.51552E+03   3.05594E-06   3.78881E+03   5.74203E+06   7.09071E-03
 6.15550E-09   1.99934E+05   7.99469E+02   3.91952E-04   7.33749E+01   4.15907E-01   5.40370E-05   1.55102E+03   3.17249E-06   3.87756E+03   6.01419E+06   7.53753E-03
 6.23150E-09   1.99930E+05   7.99441E+02   4.16279E-04   7.12842E+01   4.29436E-01   5.48237E-05   1.58678E+03   3.29174E-06   3.96696E+03   6.29471E+06   8.00536E-03
 6.30750E-09   1.99927E+05   7.99412E+02   4.41731E-04   6.92802E+01   4.43191E-01   5.56109E-05   1.62280E+03   3.41372E-06   4.05700E+03   6.58372E+06   8.49483E-03
 6.38350E-09   1.99923E+05   7.99384E+02   4.68343E-04   6.73584E+01   4.57171E-01   5.63987E-05   1.65907E+03   3.53845E-06   4.14768E+03   6.88129E+06   9.00660E-03
 6.45950E-09   1.99919E+05   7.99355E+02   4.96148E-04   6.55143E+01   4.71376E-01   5.71869E-05   1.69559E+03   3.66594E-06   4.23897E+03   7.18756E+06   9.54131E-03
 6.53550E-09   1.99916E+05   7.99327E+02   5.25181E-04   6.37438E+01   4.85804E-01   5.79757E-05   1.73235E+03   3.79622E-06   4.33088E+03   7.50261E+06   1.00996E-02
 6.61150E-09   1.99912E+05   7.99298E+02   5.55477E-04   6.20432E+01   5.00456E-01   5.87648E-05   1.76935E+03   3.92930E-06   4.42339E+03   7.82654E+06   1.06822E-02
 6.68750E-09   1.99909E+05   7.99270E+02   5.87070E-04   6.04090E+01   5.15330E-01   5.95544E-05   1.80659E+03   4.06521E-06   4.51648E+03   8.15945E+06   1.12898E-02
 6.76350E-09   1.99905E+05   7.99241E+02   6.19998E-04   5.88377E+01   5.30427E-01   6.03444E-05   1.84407E+03   4.20395E-06   4.61016E+03   8.50144E+06   1.19231E-02
 6.83950E-09   1.99902E+05   7.99212E+02   6.54296E-04   5.73262E+01   5.45745E-01   6.11348E-05   1.88177E+03   4.34555E-06   4.70442E+03   8.85261E+06   1.25826E-02
 6.91550E-09   1.99898E+05   7.99184E+02   6.90000E-04   5.58716E+01   5.61285E-01   6.19255E-05   1.91969E+03   4.49002E-06   4.79923E+03   9.21306E+06   1.32692E-02
 6.99150E-09   1.99894E+05   7.99155E+02   7.27147E-04   5.44711E+01   5.77045E-01   6.27165E-05   1.95784E+03   4.63738E-06   4.89461E+03   9.58286E+06   1.39836E-02
 7.06750E-09   1.99891E+05   7.99125E+02   7.65775E-04   5.31220E+01   5.93024E-01   6.35079E-05   1.99621E+03   4.78765E-06   4.99052E+03   9.96212E+06   1.47264E-02
 7.14350E-09   1.99887E+05   7.99096E+02   8.05921E-04   5.18220E+01   6.09223E-01   6.42995E-05   2.03479E+03   4.94085E-06   5.08697E+03   1.03509E+07   1.54985E-02
 7.21950E-09   1.99883E+05   7.99067E+02   8.47622E-04   5.05688E+01   6.25641E-01   6.50914E-05   2.07358E+03   5.09699E-06   5.18396E+03   1.07494E+07   1.63004E-02
 7.29550E-09   1.99879E+05   7.99035E+02   8.90917E-04   4.93600E+01   6.42276E-01   6.58836E-05   2.11258E+03   5.25608E-06   5.28146E+03   1.11575E+07   1.71330E-02
 7.37150E-09   1.99875E+05   7.99002E+02   9.35845E-04   4.81938E+01   6.59128E-01   6.66760E-05   2.15179E+03   5.41814E-06   5.37947E+03   1.15755E+07   1.79970E-02
 7.44750E-09   1.99871E+05   7.98968E+02   9.82445E-04   4.70681E+01   6.76197E-01   6.74686E-05   2.19119E+03   5.58319E-06   5.47799E+03   1.20033E+07   1.88932E-02
 7.52350E-09   1.99867E+05   7.98934E+02   1.03076E-03   4.59811E+01   6.93481E-01   6.82614E-05   2.23080E+03   5.75125E-06   5.57700E+03   1.24412E+07   1.98222E-02
 7.59950E-09   1.99862E+05   7.98900E+02   1.08082E-03   4.49311E+01   7.10980E-01   6.90544E-05   2.27060E+03   5.92232E-06   5.67649E+03   1.28890E+07   2.07849E-02
 7.67550E-09   1.99858E+05   7.98866E+02   1.13267E-03   4.39164E+01   7.28694E-01   6.98476E-05   2.31059E+03   6.09642E-06   5.77647E+03   1.33471E+07   2.17821E-02
 7.75150E-09   1.99854E+05   7.98832E+02   1.18635E-03   4.29356E+01   7.46621E-01   7.06409E-05   2.35077E+03   6.27357E-06   5.87692E+03   1.38153E+07   2.28144E-02
 7.82750E-09   1.99850E+05   7.98798E+02   1.24190E-03   4.19870E+01   7.64761E-01   7.14344E-05   2.39113E+03   6.45378E-06   5.97783E+03   1.42938E+07   2.38827E-02
 7.90350E-09   1.99845E+05   7.98763E+02   1.29937E-03   4.10695E+01   7.83113E-01   7.22280E-05   2.43168E+03   6.63707E-06   6.07921E+03   1.47827E+07   2.49878E-02
 7.97950E-09   1.99841E+05   7.98727E+02   1.35878E-03   4.01815E+01   8.01676E-01   7.30216E-05   2.47241E+03   6.82345E-06   6.18103E+03   1.52820E+07   2.61304E-02
 8.05550E-09   1.99836E+05   7.98691E+02   1.42020E-03   3.93220E+01   8.20450E-01   7.38154E-05   2.51331E+03   7.01292E-06   6.28329E+03   1.57919E+07   2.73114E-02
 8.13150E-09   1.99832E+05   7.98654E+02   1.48364E-03   3.84896E+01   8.39434E-01   7.46093E-05   2.55439E+03   7.20552E-06   6.38598E+03   1.63123E+07   2.85316E-02
 8.20750E-09   1.99826E+05   7.98612E+02   1.54917E-03   3.76834E+01   8.58626E-01   7.54032E-05   2.59564E+03   7.40124E-06   6.48911E+03   1.68434E+07   2.97917E-02
 8.28350E-09   1.99821E+05   7.98569E+02   1.61682E-03   3.69021E+01   8.78027E-01   7.61972E-05   2.63706E+03   7.60010E-06   6.59266E+03   1.73853E+07   3.10926E-02
 8.35950E-09   1.99816E+05   7.98526E+02   1.68662E-03   3.61448E+01   8.97635E-01   7.69913E-05   2.67865E+03   7.80212E-06   6.69662E+03   1.79379E+07   3.24351E-02
 8.43550E-09   1.99810E+05   7.98483E+02   1.75864E-03   3.54106E+01   9.17449E-01   7.77854E-05   2.72040E+03   8.00730E-06   6.80099E+03   1.85014E+07   3.38200E-02
 8.51150E-09   1.99805E+05   7.98440E+02   1.83290E-03   3.46986E+01   9.37470E-01   7.85795E-05   2.76231E+03   8.21566E-06   6.90576E+03   1.90758E+07   3.52481E-02
 8.58750E-09   1.99800E+05   7.98397E+02   1.90946E-03   3.40077E+01   9.57696E-01   7.93736E-05   2.80437E+03   8.42722E-06   7.01093E+03   1.96613E+07   3.67204E-02
 8.66350E-09   1.99794E+05   7.98354E+02   1.98835E-03   3.33373E+01   9.78126E-01   8.01677E-05   2.84660E+03   8.64198E-06   7.11649E+03   2.02578E+07   3.82375E-02
 8.73950E-09   1.99789E+05   7.98311E+02   2.06962E-03   3.26866E+01   9.98759E-01   8.09618E-05   2.88897E+03   8.85995E-06   7.22243E+03   2.08654E+07   3.98004E-02
 8.81550E-09   1.99783E+05   7.98268E+02   2.15332E-03   3.20547E+01   1.01959E+00   8.17559E-05   2.93150E+03   9.08115E-06   7.32875E+03   2.14842E+07   4.14100E-02
 8.89150E-09   1.99778E+05   7.98225E+02   2.23948E-03   3.14410E+01   1.04063E+00   8.25500E-05   2.97418E+03   9.30558E-06   7.43544E+03   2.21143E+07   4.30669E-02
 8.96750E-09   1.99772E+05   7.98179E+02   2.32816E-03   3.08447E+01   1.06187E+00   8.33440E-05   3.01700E+03   9.53327E-06   7.54250E+03   2.27557E+07   4.47723E-02
 9.04350E-09   1.99766E+05   7.98132E+02   2.41939E-03   3.02654E+01   1.08331E+00   8.41380E-05   3.05996E+03   9.76421E-06   7.64991E+03   2.34085E+07   4.65267E-02
 9.11950E-09   1.99760E+05   7.98085E+02   2.51323E-03   2.97022E+01   1.10495E+00   8.49319E-05   3.10307E+03   9.99843E-06   7.75768E+03   2.40726E+07   4.83313E-02
 9.19550E-09   1.99755E+05   7.98037E+02   2.60971E-03   2.91546E+01   1.12678E+00   8.57257E-05   3.14632E+03   1.02359E-05   7.86580E+03   2.47483E+07   5.01868E-02
 9.27150E-09   1.99749E+05   7.97990E+02   2.70889E-03   2.86221E+01   1.14882E+00   8.65195E-05   3.18970E+03   1.04767E-05   7.97426E+03   2.54355E+07   5.20940E-02
 9.34750E-09   1.99743E+05   7.97943E+02   2.81080E-03   2.81041E+01   1.17105E+00   8.73132E-05   3.23322E+03   1.07208E-05   8.08306E+03   2.61343E+07   5.40539E-02
 9.42350E-09   1.99737E+05   7.97895E+02   2.91550E-03   2.76001E+01   1.19348E+00   8.81068E-05   3.27688E+03   1.09682E-05   8.19219E+03   2.68448E+07   5.60674E-02
 9.49950E-09   1.99731E+05   7.97848E+02   3.02304E-03   2.71096E+01   1.21610E+00   8.89003E-05   3.32066E+03   1.12189E-05   8.30164E+03   2.75669E+07   5.81353E-02
 9.57550E-09   1.99725E+05   7.97800E+02   3.13345E-03   2.66321E+01   1.23892E+00   8.96937E-05   3.36457E+03   1.14730E-05   8.41142E+03   2.83008E+07   6.02586E-02
 9.65150E-09   1.99719E+05   7.97751E+02   3.24678E-03   2.61672E+01   1.26193E+00   9.04870E-05   3.40861E+03   1.17304E-05   8.52152E+03   2.90465E+07   6.24381E-02
 9.72750E-09   1.99713E+05   7.97702E+02   3.36308E-03   2.57144E+01   1.28513E+00   9.12802E-05   3.45277E+03   1.19912E-05   8.63193E+03   2.98041E+07   6.46748E-02
 9.80350E-09   1.99706E+05   7.97654E+02   3.48241E-03   2.52734E+01   1.30853E+00   9.20732E-05   3.49706E+03   1.22553E-05   8.74265E+03   3.05736E+07   6.69694E-02
 9.87950E-09   1.99700E+05   7.97605E+02   3.60479E-03   2.48436E+01   1.33211E+00   9.28662E-05   3.54147E+03   1.25228E-05   8.85367E+03   3.13550E+07   6.93230E-02
 9.95550E-09   1.99694E+05   7.97556E+02   3.73029E-03   2.44248E+01   1.35589E+00   9.36589E-05   3.58600E+03   1.27936E-05   8.96499E+03   3.21484E+07   7.17364E-02
 1.00315E-08   1.99687E+05   7.97499E+02   3.85895E-03   2.40166E+01   1.37986E+00   9.44516E-05   3.63064E+03   1.30679E-05   9.07660E+03   3.29539E+07   7.42107E-02
 1.01075E-08   1.99680E+05   7.97441E+02   3.99082E-03   2.36186E+01   1.40401E+00   9.52440E-05   3.67540E+03   1.33455E-05   9.18850E+03   3.37714E+07   7.67466E-02
 1.01835E-08   1.99673E+05   7.97382E+02   4.12594E-03   2.32305E+01   1.42836E+00   9.60363E-05   3.72027E+03   1.36266E-05   9.30068E+03   3.46011E+07   7.93450E-02
 1.02595E-08   1.99665E+05   7.97324E+02   4.26436E-03   2.28520E+01   1.45289E+00   9.68285E-05   3.76526E+03   1.39111E-05   9.41314E+03   3.54429E+07   8.20071E-02
 1.03355E-08   1.99658E+05   7.97265E+02   4.40614E-03   2.24827E+01   1.47760E+00   9.76205E-05   3.81035E+03   1.41990E-05   9.52588E+03   3.62969E+07   8.47336E-02
 1.04115E-08   1.99650E+05   7.97204E+02   4.55132E-03   2.21223E+01   1.50250E+00   9.84123E-05   3.85555E+03   1.44903E-05   9.63888E+03   3.71632E+07   8.75254E-02
 1.04875E-08   1.99643E+05   7.97143E+02   4.69994E-03   2.17707E+01   1.52759E+00   9.92039E-05   3.90086E+03   1.47850E-05   9.75215E+03   3.80418E+07   9.03836E-02
 1.05635E-08   1.99635E+05   7.97082E+02   4.85206E-03   2.14274E+01   1.55286E+00   9.99954E-05   3.94627E+03   1.50833E-05   9.86568E+03   3.89327E+07   9.33090E-02
 1.06395E-08   1.99627E+05   7.97021E+02   5.00773E-03   2.10923E+01   1.57831E+00   1.00787E-04   3.99179E+03   1.53849E-05   9.97947E+03   3.98359E+07   9.63025E-02
 1.07155E-08   1.99620E+05   7.96961E+02   5.16699E-03   2.07650E+01   1.60395E+00   1.01578E-04   4.03741E+03   1.56901E-05   1.00935E+04   4.07516E+07   9.93652E-02
 1.07915E-08   1.99612E+05   7.96900E+02   5.32989E-03   2.04454E+01   1.62977E+00   1.02369E-04   4.08312E+03   1.59987E-05   1.02078E+04   4.16797E+07   1.02498E-01
