Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kV)             Q_brick                  V_out                    P_out                    E_out                    
 0.00000E+00   1.00000E+05   3.20000E+03   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.55000E-11   1.00000E+05   3.20000E+03   2.69560E-15   1.16962E+06   3.08294E-07   4.58853E-07   8.54612E-05   3.08400E-12   8.54612E-22   7.30077E-23   1.65956E-33
 1.51500E-10   1.00000E+05   3.20000E+03   3.67070E-14   4.05077E+05   1.51770E-06   7.79700E-07   2.46672E-04   1.51858E-11   2.46672E-21   6.08444E-22   2.25899E-32
 2.27500E-10   1.00000E+05   3.20000E+03   2.15394E-13   1.94214E+05   4.34502E-06   1.12605E-06   5.14263E-04   4.34883E-11   5.14263E-21   2.64467E-21   1.32551E-31
 3.03500E-10   1.00000E+05   3.20000E+03   8.43106E-13   1.09553E+05   9.68441E-06   1.49929E-06   9.11196E-04   9.69632E-11   9.11196E-21   8.30283E-21   5.18836E-31
 3.79500E-10   1.00000E+05   3.20000E+03   2.58119E-12   6.83278E+04   1.86007E-05   1.89844E-06   1.46006E-03   1.86313E-10   1.46006E-20   2.13178E-20   1.58842E-30
 4.55500E-10   1.00000E+05   3.20000E+03   6.68528E-12   4.56652E+04   3.23260E-05   2.32222E-06   2.18313E-03   3.23943E-10   2.18313E-20   4.76608E-20   4.11402E-30
 5.31500E-10   1.00000E+05   3.20000E+03   1.53249E-11   3.21095E+04   5.22563E-05   2.76936E-06   3.10237E-03   5.23941E-10   3.10237E-20   9.62471E-20   9.43073E-30
 6.07500E-10   1.00000E+05   3.20000E+03   3.19958E-11   2.34773E+04   7.99478E-05   3.23871E-06   4.23941E-03   8.02050E-10   4.23941E-20   1.79726E-19   1.96898E-29
 6.83500E-10   1.00000E+05   3.20000E+03   6.20343E-11   1.77073E+04   1.17114E-04   3.72924E-06   5.61556E-03   1.17565E-09   5.61555E-20   3.15345E-19   3.81750E-29
 7.59500E-10   1.00000E+05   3.20000E+03   1.13243E-10   1.36981E+04   1.65619E-04   4.24001E-06   7.25176E-03   1.66371E-09   7.25176E-20   5.25880E-19   6.96877E-29
 8.35500E-10   1.00000E+05   3.20000E+03   1.96634E-10   1.08224E+04   2.27478E-04   4.77018E-06   9.16859E-03   2.28680E-09   9.16859E-20   8.40631E-19   1.21005E-28
 9.11500E-10   1.00000E+05   3.20000E+03   3.27301E-10   8.70429E+03   3.04850E-04   5.31900E-06   1.13863E-02   3.06702E-09   1.13863E-19   1.29647E-18   2.01416E-28
 9.87500E-10   1.00000E+05   3.20000E+03   5.25424E-10   7.10869E+03   4.00031E-04   5.88575E-06   1.39246E-02   4.02801E-09   1.39246E-19   1.93893E-18   3.23338E-28
 1.06350E-09   1.00000E+05   3.20000E+03   8.17405E-10   5.88318E+03   5.15454E-04   6.46979E-06   1.68029E-02   5.19488E-09   1.68029E-19   2.82336E-18   5.03018E-28
 1.13950E-09   1.00000E+05   3.20000E+03   1.23716E-09   4.92593E+03   6.53683E-04   7.07053E-06   2.00401E-02   6.59420E-09   2.00401E-19   4.01605E-18   7.61327E-28
 1.21550E-09   1.00000E+05   3.20000E+03   1.82753E-09   4.16707E+03   8.17404E-04   7.68743E-06   2.36548E-02   8.25397E-09   2.36548E-19   5.59549E-18   1.12463E-27
 1.29150E-09   1.00000E+05   3.20000E+03   2.64188E-09   3.55755E+03   1.00942E-03   8.31996E-06   2.76650E-02   1.02036E-08   2.76650E-19   7.65350E-18   1.62577E-27
 1.36750E-09   1.00000E+05   3.20000E+03   3.74582E-09   3.06223E+03   1.23267E-03   8.96763E-06   3.20882E-02   1.24737E-08   3.20882E-19   1.02965E-17   2.30512E-27
 1.44350E-09   1.00000E+05   3.20000E+03   5.21908E-09   2.65546E+03   1.49016E-03   9.63001E-06   3.69415E-02   1.50965E-08   3.69415E-19   1.36468E-17   3.21174E-27
 1.51950E-09   1.00000E+05   3.20000E+03   7.15753E-09   2.31824E+03   1.78504E-03   1.03067E-05   4.22416E-02   1.81052E-08   4.22416E-19   1.78435E-17   4.40463E-27
 1.59550E-09   1.00000E+05   3.20000E+03   9.67538E-09   2.03625E+03   2.12055E-03   1.09972E-05   4.80046E-02   2.15345E-08   4.80046E-19   2.30444E-17   5.95408E-27
 1.67150E-09   1.00000E+05   3.20000E+03   1.29075E-08   1.79860E+03   2.49999E-03   1.17012E-05   5.42460E-02   2.54200E-08   5.42460E-19   2.94262E-17   7.94307E-27
 1.74750E-09   1.00000E+05   3.20000E+03   1.70119E-08   1.59688E+03   2.92680E-03   1.24183E-05   6.09809E-02   2.97989E-08   6.09809E-19   3.71868E-17   1.04688E-26
 1.82350E-09   1.00000E+05   3.20000E+03   2.21723E-08   1.42451E+03   3.40446E-03   1.31481E-05   6.82241E-02   3.47090E-08   6.82241E-19   4.65453E-17   1.36445E-26
 1.89950E-09   1.00000E+05   3.20000E+03   2.86010E-08   1.27632E+03   3.93654E-03   1.38904E-05   7.59895E-02   4.01896E-08   7.59895E-19   5.77440E-17   1.76006E-26
 1.97550E-09   1.00000E+05   3.20000E+03   3.65417E-08   1.14821E+03   4.52668E-03   1.46449E-05   8.42907E-02   4.62810E-08   8.42907E-19   7.10492E-17   2.24872E-26
 2.05150E-09   1.00000E+05   3.20000E+03   4.62724E-08   1.03687E+03   5.17860E-03   1.54111E-05   9.31408E-02   5.30243E-08   9.31408E-19   8.67521E-17   2.84753E-26
 2.12750E-09   1.00000E+05   3.20000E+03   5.81089E-08   9.39638E+02   5.89607E-03   1.61889E-05   1.02552E-01   6.04618E-08   1.02552E-18   1.05170E-16   3.57593E-26
 2.20350E-09   1.00000E+05   3.20000E+03   7.24077E-08   8.54334E+02   6.68289E-03   1.69778E-05   1.12538E-01   6.86365E-08   1.12538E-18   1.26647E-16   4.45586E-26
 2.27950E-09   1.00000E+05   3.20000E+03   8.95697E-08   7.79179E+02   7.54296E-03   1.77778E-05   1.23108E-01   7.75925E-08   1.23108E-18   1.51556E-16   5.51198E-26
 2.35550E-09   1.00000E+05   3.20000E+03   1.10043E-07   7.12700E+02   8.48017E-03   1.85884E-05   1.34274E-01   8.73749E-08   1.34274E-18   1.80296E-16   6.77189E-26
 2.43150E-09   1.00000E+05   3.20000E+03   1.34328E-07   6.53675E+02   9.49850E-03   1.94096E-05   1.46048E-01   9.80291E-08   1.46048E-18   2.13299E-16   8.26637E-26
 2.50750E-09   1.00000E+05   3.20000E+03   1.62980E-07   6.01083E+02   1.06019E-02   2.02409E-05   1.58438E-01   1.09602E-07   1.58438E-18   2.51025E-16   1.00295E-25
 2.58350E-09   1.00000E+05   3.20000E+03   1.96612E-07   5.54068E+02   1.17945E-02   2.10822E-05   1.71455E-01   1.22140E-07   1.71455E-18   2.93967E-16   1.20992E-25
 2.65950E-09   1.00000E+05   3.20000E+03   2.35901E-07   5.11905E+02   1.30803E-02   2.19332E-05   1.85107E-01   1.35692E-07   1.85107E-18   3.42646E-16   1.45169E-25
 2.73550E-09   1.00000E+05   3.20000E+03   2.81589E-07   4.73982E+02   1.44633E-02   2.27937E-05   1.99404E-01   1.50307E-07   1.99404E-18   3.97618E-16   1.73285E-25
 2.81150E-09   1.00000E+05   3.20000E+03   3.34490E-07   4.39775E+02   1.59476E-02   2.36636E-05   2.14353E-01   1.66033E-07   2.14353E-18   4.59473E-16   2.05840E-25
 2.88750E-09   1.00000E+05   3.20000E+03   3.95494E-07   4.08839E+02   1.75374E-02   2.45426E-05   2.29963E-01   1.82921E-07   2.29963E-18   5.28830E-16   2.43381E-25
 2.96350E-09   1.00000E+05   3.20000E+03   4.65566E-07   3.80790E+02   1.92368E-02   2.54304E-05   2.46241E-01   2.01020E-07   2.46241E-18   6.06344E-16   2.86503E-25
 3.03950E-09   1.00000E+05   3.20000E+03   5.45758E-07   3.55296E+02   2.10498E-02   2.63270E-05   2.63193E-01   2.20383E-07   2.63193E-18   6.92706E-16   3.35851E-25
 3.11550E-09   1.00000E+05   3.20000E+03   6.37207E-07   3.32071E+02   2.29806E-02   2.72321E-05   2.80827E-01   2.41060E-07   2.80827E-18   7.88637E-16   3.92127E-25
 3.19150E-09   1.00000E+05   3.20000E+03   7.41141E-07   3.10867E+02   2.50334E-02   2.81455E-05   2.99148E-01   2.63104E-07   2.99148E-18   8.94895E-16   4.56087E-25
 3.26750E-09   1.00000E+05   3.20000E+03   8.58885E-07   2.91468E+02   2.72122E-02   2.90671E-05   3.18162E-01   2.86567E-07   3.18162E-18   1.01227E-15   5.28545E-25
 3.34350E-09   1.00000E+05   3.20000E+03   9.91865E-07   2.73684E+02   2.95211E-02   2.99966E-05   3.37875E-01   3.11502E-07   3.37875E-18   1.14160E-15   6.10378E-25
 3.41950E-09   1.00000E+05   3.20000E+03   1.14161E-06   2.57349E+02   3.19643E-02   3.09340E-05   3.58292E-01   3.37962E-07   3.58292E-18   1.28373E-15   7.02528E-25
 3.49550E-09   1.00000E+05   3.20000E+03   1.30975E-06   2.42317E+02   3.45459E-02   3.18790E-05   3.79416E-01   3.66001E-07   3.79416E-18   1.43956E-15   8.06001E-25
 3.57150E-09   1.00000E+05   3.20000E+03   1.49805E-06   2.28461E+02   3.72698E-02   3.28314E-05   4.01253E-01   3.95672E-07   4.01253E-18   1.61004E-15   9.21876E-25
 3.64750E-09   1.00000E+05   3.20000E+03   1.70836E-06   2.15667E+02   4.01402E-02   3.37912E-05   4.23806E-01   4.27031E-07   4.23806E-18   1.79612E-15   1.05130E-24
 3.72350E-09   1.00000E+05   3.20000E+03   1.94269E-06   2.03834E+02   4.31610E-02   3.47582E-05   4.47079E-01   4.60132E-07   4.47079E-18   1.99880E-15   1.19550E-24
 3.79950E-09   1.00000E+05   3.20000E+03   2.20314E-06   1.92873E+02   4.63364E-02   3.57322E-05   4.71076E-01   4.95029E-07   4.71075E-18   2.21912E-15   1.35578E-24
 3.87550E-09   1.00000E+05   3.20000E+03   2.49195E-06   1.82705E+02   4.96702E-02   3.67131E-05   4.95798E-01   5.31778E-07   4.95798E-18   2.45816E-15   1.53351E-24
 3.95150E-09   1.00000E+05   3.20000E+03   2.81152E-06   1.73258E+02   5.31664E-02   3.77008E-05   5.21250E-01   5.70434E-07   5.21250E-18   2.71701E-15   1.73017E-24
 4.02750E-09   1.00000E+05   3.20000E+03   3.16436E-06   1.64469E+02   5.68290E-02   3.86950E-05   5.47433E-01   6.11053E-07   5.47433E-18   2.99683E-15   1.94730E-24
 4.10350E-09   1.00000E+05   3.20000E+03   3.55312E-06   1.56281E+02   6.06617E-02   3.96957E-05   5.74349E-01   6.53689E-07   5.74349E-18   3.29877E-15   2.18654E-24
 4.17950E-09   1.00000E+05   3.20000E+03   3.98062E-06   1.48643E+02   6.46686E-02   4.07028E-05   6.02001E-01   6.98400E-07   6.02001E-18   3.62405E-15   2.44961E-24
 4.25550E-09   1.00000E+05   3.20000E+03   4.44982E-06   1.41510E+02   6.88534E-02   4.17160E-05   6.30389E-01   7.45240E-07   6.30389E-18   3.97390E-15   2.73835E-24
 4.33150E-09   1.00000E+05   3.20000E+03   4.96383E-06   1.34840E+02   7.32199E-02   4.27354E-05   6.59515E-01   7.94266E-07   6.59515E-18   4.34960E-15   3.05467E-24
 4.40750E-09   1.00000E+05   3.20000E+03   5.52593E-06   1.28595E+02   7.77719E-02   4.37607E-05   6.89381E-01   8.45535E-07   6.89381E-18   4.75246E-15   3.40057E-24
 4.48350E-09   1.00000E+05   3.20000E+03   6.13954E-06   1.22742E+02   8.25130E-02   4.47919E-05   7.19987E-01   8.99101E-07   7.19987E-18   5.18381E-15   3.77818E-24
 4.55950E-09   1.00000E+05   3.20000E+03   6.80828E-06   1.17251E+02   8.74470E-02   4.58288E-05   7.51333E-01   9.55023E-07   7.51333E-18   5.64501E-15   4.18971E-24
 4.63550E-09   1.00000E+05   3.20000E+03   7.53592E-06   1.12093E+02   9.25774E-02   4.68713E-05   7.83421E-01   1.01335E-06   7.83421E-18   6.13748E-15   4.63749E-24
 4.71150E-09   1.00000E+05   3.20000E+03   8.32641E-06   1.07243E+02   9.79079E-02   4.79194E-05   8.16250E-01   1.07415E-06   8.16250E-18   6.66263E-15   5.12395E-24
 4.78750E-09   1.00000E+05   3.20000E+03   9.18388E-06   1.02679E+02   1.03442E-01   4.89728E-05   8.49820E-01   1.13748E-06   8.49820E-18   7.22193E-15   5.65162E-24
 4.86350E-09   1.00000E+05   3.20000E+03   1.01126E-05   9.83797E+01   1.09183E-01   5.00315E-05   8.84131E-01   1.20338E-06   8.84131E-18   7.81687E-15   6.22316E-24
 4.93950E-09   1.00000E+05   3.20000E+03   1.11172E-05   9.43253E+01   1.15135E-01   5.10955E-05   9.19183E-01   1.27192E-06   9.19183E-18   8.44897E-15   6.84134E-24
 5.01550E-09   1.00000E+05   3.20000E+03   1.22022E-05   9.04988E+01   1.21301E-01   5.21645E-05   9.54975E-01   1.34315E-06   9.54975E-18   9.11977E-15   7.50903E-24
 5.09150E-09   1.00000E+05   3.20000E+03   1.33725E-05   8.68842E+01   1.27684E-01   5.32385E-05   9.91507E-01   1.41713E-06   9.91507E-18   9.83087E-15   8.22925E-24
 5.16750E-09   1.00000E+05   3.20000E+03   1.46333E-05   8.34668E+01   1.34288E-01   5.43175E-05   1.02878E+00   1.49391E-06   1.02878E-17   1.05838E-14   9.00512E-24
 5.24350E-09   1.00000E+05   3.20000E+03   1.59898E-05   8.02333E+01   1.41116E-01   5.54012E-05   1.06679E+00   1.57356E-06   1.06679E-17   1.13803E-14   9.83988E-24
 5.31950E-09   1.00000E+05   3.20000E+03   1.74475E-05   7.71712E+01   1.48171E-01   5.64896E-05   1.10553E+00   1.65612E-06   1.10553E-17   1.22220E-14   1.07369E-23
 5.39550E-09   1.00000E+05   3.20000E+03   1.90120E-05   7.42691E+01   1.55456E-01   5.75827E-05   1.14501E+00   1.74166E-06   1.14501E-17   1.31105E-14   1.16997E-23
 5.47150E-09   1.00000E+05   3.20000E+03   2.06892E-05   7.15167E+01   1.62975E-01   5.86804E-05   1.18523E+00   1.83022E-06   1.18523E-17   1.40476E-14   1.27318E-23
 5.54750E-09   1.00000E+05   3.20000E+03   2.24854E-05   6.89042E+01   1.70731E-01   5.97824E-05   1.22617E+00   1.92187E-06   1.22617E-17   1.50350E-14   1.38371E-23
 5.62350E-09   1.00000E+05   3.20000E+03   2.44067E-05   6.64227E+01   1.78726E-01   6.08889E-05   1.26785E+00   2.01666E-06   1.26785E-17   1.60745E-14   1.50195E-23
 5.69950E-09   1.00000E+05   3.20000E+03   2.64597E-05   6.40641E+01   1.86964E-01   6.19996E-05   1.31026E+00   2.11465E-06   1.31026E-17   1.71678E-14   1.62829E-23
 5.77550E-09   1.00000E+05   3.20000E+03   2.86512E-05   6.18207E+01   1.95448E-01   6.31146E-05   1.35339E+00   2.21588E-06   1.35339E-17   1.83167E-14   1.76315E-23
 5.85150E-09   1.00000E+05   3.20000E+03   3.09882E-05   5.96853E+01   2.04180E-01   6.42336E-05   1.39725E+00   2.32043E-06   1.39725E-17   1.95231E-14   1.90697E-23
 5.92750E-09   1.00000E+05   3.20000E+03   3.34779E-05   5.76516E+01   2.13164E-01   6.53568E-05   1.44183E+00   2.42833E-06   1.44183E-17   2.07888E-14   2.06018E-23
 6.00350E-09   1.00000E+05   3.20000E+03   3.61277E-05   5.57134E+01   2.22402E-01   6.64839E-05   1.48714E+00   2.53965E-06   1.48714E-17   2.21157E-14   2.22324E-23
 6.07950E-09   1.00000E+05   3.20000E+03   3.89453E-05   5.38651E+01   2.31897E-01   6.76150E-05   1.53316E+00   2.65444E-06   1.53316E-17   2.35057E-14   2.39663E-23
 6.15550E-09   1.00000E+05   3.20000E+03   4.19386E-05   5.21014E+01   2.41652E-01   6.87498E-05   1.57989E+00   2.77275E-06   1.57989E-17   2.49607E-14   2.58083E-23
 6.23150E-09   1.00000E+05   3.20000E+03   4.51157E-05   5.04176E+01   2.51669E-01   6.98885E-05   1.62735E+00   2.89464E-06   1.62735E-17   2.64825E-14   2.77635E-23
 6.30750E-09   1.00000E+05   3.20000E+03   4.84851E-05   4.88090E+01   2.61951E-01   7.10308E-05   1.67551E+00   3.02017E-06   1.67551E-17   2.80733E-14   2.98370E-23
 6.38350E-09   1.00000E+05   3.20000E+03   5.20554E-05   4.72714E+01   2.72501E-01   7.21768E-05   1.72438E+00   3.14939E-06   1.72438E-17   2.97348E-14   3.20341E-23
 6.45950E-09   1.00000E+05   3.20000E+03   5.58354E-05   4.58008E+01   2.83321E-01   7.33263E-05   1.77396E+00   3.28235E-06   1.77396E-17   3.14693E-14   3.43602E-23
 6.53550E-09   1.00000E+05   3.20000E+03   5.98343E-05   4.43937E+01   2.94413E-01   7.44793E-05   1.82424E+00   3.41910E-06   1.82424E-17   3.32785E-14   3.68211E-23
 6.61150E-09   1.00000E+05   3.20000E+03   6.40613E-05   4.30465E+01   3.05781E-01   7.56358E-05   1.87522E+00   3.55970E-06   1.87522E-17   3.51645E-14   3.94224E-23
 6.68750E-09   1.00000E+05   3.20000E+03   6.85263E-05   4.17561E+01   3.17426E-01   7.67956E-05   1.92690E+00   3.70420E-06   1.92690E-17   3.71294E-14   4.21700E-23
 6.76350E-09   1.00000E+05   3.20000E+03   7.32389E-05   4.05193E+01   3.29351E-01   7.79588E-05   1.97927E+00   3.85266E-06   1.97927E-17   3.91752E-14   4.50701E-23
 6.83950E-09   1.00000E+05   3.20000E+03   7.82094E-05   3.93335E+01   3.41558E-01   7.91252E-05   2.03234E+00   4.00512E-06   2.03234E-17   4.13040E-14   4.81288E-23
 6.91550E-09   1.00000E+05   3.20000E+03   8.34481E-05   3.81959E+01   3.54050E-01   8.02949E-05   2.08609E+00   4.16165E-06   2.08609E-17   4.35179E-14   5.13526E-23
 6.99150E-09   1.00000E+05   3.20000E+03   8.89656E-05   3.71042E+01   3.66828E-01   8.14676E-05   2.14054E+00   4.32228E-06   2.14054E-17   4.58190E-14   5.47480E-23
 7.06750E-09   1.00000E+05   3.20000E+03   9.47728E-05   3.60558E+01   3.79896E-01   8.26435E-05   2.19566E+00   4.48708E-06   2.19566E-17   4.82092E-14   5.83217E-23
 7.14350E-09   1.00000E+05   3.20000E+03   1.00881E-04   3.50488E+01   3.93254E-01   8.38224E-05   2.25146E+00   4.65609E-06   2.25146E-17   5.06909E-14   6.20806E-23
 7.21950E-09   1.00000E+05   3.20000E+03   1.07301E-04   3.40809E+01   4.06905E-01   8.50042E-05   2.30795E+00   4.82938E-06   2.30795E-17   5.32661E-14   6.60316E-23
 7.29550E-09   1.00000E+05   3.20000E+03   1.14046E-04   3.31504E+01   4.20852E-01   8.61891E-05   2.36510E+00   5.00698E-06   2.36510E-17   5.59370E-14   7.01821E-23
 7.37150E-09   1.00000E+05   3.20000E+03   1.21126E-04   3.22553E+01   4.35096E-01   8.73767E-05   2.42293E+00   5.18895E-06   2.42293E-17   5.87057E-14   7.45393E-23
 7.44750E-09   1.00000E+05   3.20000E+03   1.28555E-04   3.13940E+01   4.49639E-01   8.85673E-05   2.48142E+00   5.37534E-06   2.48142E-17   6.15744E-14   7.91108E-23
 7.52350E-09   1.00000E+05   3.20000E+03   1.36344E-04   3.05648E+01   4.64483E-01   8.97605E-05   2.54058E+00   5.56620E-06   2.54058E-17   6.45453E-14   8.39041E-23
 7.59950E-09   1.00000E+05   3.20000E+03   1.44507E-04   2.97663E+01   4.79630E-01   9.09565E-05   2.60039E+00   5.76158E-06   2.60039E-17   6.76205E-14   8.89273E-23
 7.67550E-09   1.00000E+05   3.20000E+03   1.53056E-04   2.89970E+01   4.95082E-01   9.21553E-05   2.66087E+00   5.96153E-06   2.66087E-17   7.08023E-14   9.41883E-23
 7.75150E-09   1.00000E+05   3.20000E+03   1.62005E-04   2.82555E+01   5.10841E-01   9.33566E-05   2.72200E+00   6.16611E-06   2.72200E-17   7.40927E-14   9.96952E-23
 7.82750E-09   1.00000E+05   3.20000E+03   1.71367E-04   2.75406E+01   5.26909E-01   9.45605E-05   2.78378E+00   6.37536E-06   2.78378E-17   7.74943E-14   1.05456E-22
 7.90350E-09   1.00000E+05   3.20000E+03   1.81156E-04   2.68510E+01   5.43286E-01   9.57670E-05   2.84621E+00   6.58932E-06   2.84621E-17   8.10090E-14   1.11481E-22
 7.97950E-09   1.00000E+05   3.20000E+03   1.91387E-04   2.61857E+01   5.59976E-01   9.69760E-05   2.90928E+00   6.80806E-06   2.90928E-17   8.46393E-14   1.17776E-22
 8.05550E-09   1.00000E+05   3.20000E+03   2.02073E-04   2.55435E+01   5.76979E-01   9.81874E-05   2.97300E+00   7.03161E-06   2.97300E-17   8.83871E-14   1.24352E-22
 8.13150E-09   1.00000E+05   3.20000E+03   2.13229E-04   2.49235E+01   5.94298E-01   9.94013E-05   3.03735E+00   7.26004E-06   3.03735E-17   9.22548E-14   1.31218E-22
 8.20750E-09   1.00000E+05   3.20000E+03   2.24871E-04   2.43246E+01   6.11933E-01   1.00618E-04   3.10233E+00   7.49337E-06   3.10233E-17   9.62447E-14   1.38382E-22
 8.28350E-09   1.00000E+05   3.20000E+03   2.37013E-04   2.37459E+01   6.29887E-01   1.01836E-04   3.16795E+00   7.73167E-06   3.16795E-17   1.00359E-13   1.45855E-22
 8.35950E-09   1.00000E+05   3.20000E+03   2.49672E-04   2.31866E+01   6.48161E-01   1.03057E-04   3.23420E+00   7.97498E-06   3.23420E-17   1.04600E-13   1.53644E-22
 8.43550E-09   1.00000E+05   3.20000E+03   2.62862E-04   2.26459E+01   6.66757E-01   1.04280E-04   3.30107E+00   8.22335E-06   3.30107E-17   1.08970E-13   1.61761E-22
 8.51150E-09   1.00000E+05   3.20000E+03   2.76600E-04   2.21229E+01   6.85676E-01   1.05506E-04   3.36856E+00   8.47683E-06   3.36856E-17   1.13472E-13   1.70216E-22
 8.58750E-09   1.00000E+05   3.20000E+03   2.90902E-04   2.16169E+01   7.04919E-01   1.06733E-04   3.43667E+00   8.73546E-06   3.43667E-17   1.18107E-13   1.79017E-22
 8.66350E-09   1.00000E+05   3.20000E+03   3.05786E-04   2.11273E+01   7.24488E-01   1.07963E-04   3.50539E+00   8.99927E-06   3.50539E-17   1.22877E-13   1.88176E-22
 8.73950E-09   1.00000E+05   3.20000E+03   3.21267E-04   2.06533E+01   7.44384E-01   1.09195E-04   3.57472E+00   9.26833E-06   3.57472E-17   1.27786E-13   1.97703E-22
 8.81550E-09   1.00000E+05   3.20000E+03   3.37363E-04   2.01944E+01   7.64608E-01   1.10429E-04   3.64466E+00   9.54270E-06   3.64466E-17   1.32836E-13   2.07608E-22
 8.89150E-09   1.00000E+05   3.20000E+03   3.54091E-04   1.97498E+01   7.85163E-01   1.11665E-04   3.71521E+00   9.82241E-06   3.71520E-17   1.38027E-13   2.17902E-22
 8.96750E-09   1.00000E+05   3.20000E+03   3.71470E-04   1.93191E+01   8.06048E-01   1.12902E-04   3.78635E+00   1.01075E-05   3.78635E-17   1.43364E-13   2.28597E-22
 9.04350E-09   1.00000E+05   3.20000E+03   3.89517E-04   1.89016E+01   8.27266E-01   1.14142E-04   3.85809E+00   1.03980E-05   3.85809E-17   1.48849E-13   2.39703E-22
 9.11950E-09   1.00000E+05   3.20000E+03   4.08251E-04   1.84969E+01   8.48818E-01   1.15384E-04   3.93043E+00   1.06940E-05   3.93043E-17   1.54483E-13   2.51231E-22
 9.19550E-09   1.00000E+05   3.20000E+03   4.27690E-04   1.81045E+01   8.70705E-01   1.16628E-04   4.00336E+00   1.09955E-05   4.00336E-17   1.60269E-13   2.63194E-22
 9.27150E-09   1.00000E+05   3.20000E+03   4.47853E-04   1.77239E+01   8.92927E-01   1.17874E-04   4.07687E+00   1.13026E-05   4.07687E-17   1.66209E-13   2.75602E-22
 9.34750E-09   9.99995E+04   3.19997E+03   4.68760E-04   1.73546E+01   9.15486E-01   1.19121E-04   4.15097E+00   1.16153E-05   4.15097E-17   1.72306E-13   2.88468E-22
 9.42350E-09   9.99988E+04   3.19992E+03   4.90429E-04   1.69962E+01   9.38384E-01   1.20371E-04   4.22565E+00   1.19337E-05   4.22565E-17   1.78561E-13   3.01803E-22
 9.49950E-09   9.99980E+04   3.19987E+03   5.12882E-04   1.66483E+01   9.61621E-01   1.21622E-04   4.30090E+00   1.22577E-05   4.30090E-17   1.84977E-13   3.15619E-22
 9.57550E-09   9.99973E+04   3.19983E+03   5.36136E-04   1.63105E+01   9.85198E-01   1.22875E-04   4.37673E+00   1.25875E-05   4.37673E-17   1.91557E-13   3.29930E-22
 9.65150E-09   9.99965E+04   3.19978E+03   5.60214E-04   1.59825E+01   1.00912E+00   1.24129E-04   4.45312E+00   1.29231E-05   4.45312E-17   1.98303E-13   3.44747E-22
 9.72750E-09   9.99958E+04   3.19973E+03   5.85135E-04   1.56638E+01   1.03338E+00   1.25386E-04   4.53008E+00   1.32644E-05   4.53008E-17   2.05216E-13   3.60083E-22
 9.80350E-09   9.99950E+04   3.19968E+03   6.10921E-04   1.53542E+01   1.05798E+00   1.26644E-04   4.60761E+00   1.36117E-05   4.60761E-17   2.12301E-13   3.75951E-22
 9.87950E-09   9.99942E+04   3.19963E+03   6.37593E-04   1.50532E+01   1.08293E+00   1.27903E-04   4.68569E+00   1.39649E-05   4.68569E-17   2.19557E-13   3.92364E-22
 9.95550E-09   9.99935E+04   3.19958E+03   6.65171E-04   1.47607E+01   1.10822E+00   1.29165E-04   4.76433E+00   1.43240E-05   4.76433E-17   2.26989E-13   4.09336E-22
 1.00315E-08   9.99927E+04   3.19953E+03   6.93678E-04   1.44762E+01   1.13386E+00   1.30427E-04   4.84352E+00   1.46892E-05   4.84352E-17   2.34597E-13   4.26879E-22
 1.01075E-08   9.99920E+04   3.19948E+03   7.23137E-04   1.41996E+01   1.15985E+00   1.31692E-04   4.92327E+00   1.50603E-05   4.92327E-17   2.42386E-13   4.45007E-22
 1.01835E-08   9.99912E+04   3.19944E+03   7.53568E-04   1.39304E+01   1.18618E+00   1.32958E-04   5.00356E+00   1.54376E-05   5.00356E-17   2.50356E-13   4.63734E-22
 1.02595E-08   9.99904E+04   3.19939E+03   7.84995E-04   1.36686E+01   1.21286E+00   1.34225E-04   5.08439E+00   1.58210E-05   5.08439E-17   2.58510E-13   4.83074E-22
 1.03355E-08   9.99897E+04   3.19934E+03   8.17441E-04   1.34138E+01   1.23990E+00   1.35494E-04   5.16577E+00   1.62105E-05   5.16577E-17   2.66851E-13   5.03041E-22
 1.04115E-08   9.99889E+04   3.19929E+03   8.50929E-04   1.31657E+01   1.26728E+00   1.36765E-04   5.24768E+00   1.66063E-05   5.24768E-17   2.75381E-13   5.23649E-22
 1.04875E-08   9.99881E+04   3.19924E+03   8.85482E-04   1.29242E+01   1.29501E+00   1.38037E-04   5.33012E+00   1.70083E-05   5.33012E-17   2.84102E-13   5.44912E-22
 1.05635E-08   9.99874E+04   3.19919E+03   9.21124E-04   1.26890E+01   1.32309E+00   1.39310E-04   5.41310E+00   1.74165E-05   5.41310E-17   2.93016E-13   5.66846E-22
 1.06395E-08   9.99866E+04   3.19914E+03   9.57880E-04   1.24599E+01   1.35153E+00   1.40585E-04   5.49660E+00   1.78311E-05   5.49660E-17   3.02127E-13   5.89465E-22
 1.07155E-08   9.99859E+04   3.19910E+03   9.95773E-04   1.22368E+01   1.38032E+00   1.41861E-04   5.58064E+00   1.82521E-05   5.58064E-17   3.11435E-13   6.12783E-22
 1.07915E-08   9.99851E+04   3.19905E+03   1.03483E-03   1.20193E+01   1.40946E+00   1.43138E-04   5.66519E+00   1.86795E-05   5.66519E-17   3.20944E-13   6.36817E-22
