Time (s)   V_brick (kV)             E_brick (kJ)             I_brick (kA)             V_out (kV)               P_out (MW)               E_out (J)                
 0.00000E+00   1.00000E+02   1.40000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.25500E-10   1.00000E+02   1.40000E+00   9.80144E-02   6.62675E-02   6.49517E-03   2.75016E-07
 2.51500E-10   1.00000E+02   1.40000E+00   1.96354E-01   1.32755E-01   2.60669E-02   2.19906E-06
 3.77500E-10   1.00000E+02   1.40000E+00   2.94628E-01   1.99198E-01   5.86893E-02   7.41813E-06
 5.03500E-10   1.00000E+02   1.40000E+00   3.92837E-01   2.65597E-01   1.04336E-01   1.75749E-05
 6.29500E-10   1.00000E+02   1.40000E+00   4.90980E-01   3.31952E-01   1.62982E-01   3.43090E-05
 7.55500E-10   1.00000E+02   1.40000E+00   5.89058E-01   3.98262E-01   2.34600E-01   5.92563E-05
 8.81500E-10   1.00000E+02   1.40000E+00   6.87071E-01   4.64529E-01   3.19164E-01   9.40500E-05
 1.00750E-09   1.00000E+02   1.40000E+00   7.85019E-01   5.30751E-01   4.16650E-01   1.40320E-04
 1.13350E-09   1.00000E+02   1.40000E+00   8.82902E-01   5.96930E-01   5.27030E-01   1.99691E-04
 1.25950E-09   1.00000E+02   1.40000E+00   9.80718E-01   6.63063E-01   6.50278E-01   2.73788E-04
 1.38550E-09   1.00000E+02   1.40000E+00   1.07847E+00   7.29154E-01   7.86372E-01   3.64231E-04
 1.51150E-09   1.00000E+02   1.40000E+00   1.17616E+00   7.95201E-01   9.35282E-01   4.72635E-04
 1.63750E-09   1.00000E+02   1.40000E+00   1.27378E+00   8.61203E-01   1.09698E+00   6.00614E-04
 1.76350E-09   1.00000E+02   1.40000E+00   1.37134E+00   9.27162E-01   1.27145E+00   7.49779E-04
 1.88950E-09   1.00000E+02   1.40000E+00   1.46883E+00   9.93076E-01   1.45866E+00   9.21736E-04
 2.01550E-09   1.00000E+02   1.40000E+00   1.56626E+00   1.05895E+00   1.65858E+00   1.11809E-03
 2.14150E-09   1.00000E+02   1.40000E+00   1.66362E+00   1.12477E+00   1.87120E+00   1.34044E-03
 2.26750E-09   1.00000E+02   1.40000E+00   1.76092E+00   1.19056E+00   2.09647E+00   1.59038E-03
 2.39350E-09   1.00000E+02   1.40000E+00   1.85815E+00   1.25630E+00   2.33439E+00   1.86951E-03
 2.51950E-09   1.00000E+02   1.40000E+00   1.95532E+00   1.32199E+00   2.58492E+00   2.17942E-03
 2.64550E-09   1.00000E+02   1.40000E+00   2.05243E+00   1.38765E+00   2.84804E+00   2.52170E-03
 2.77150E-09   9.99987E+01   1.39996E+00   2.14947E+00   1.45325E+00   3.12372E+00   2.89792E-03
 2.89750E-09   9.99974E+01   1.39993E+00   2.24644E+00   1.51882E+00   3.41193E+00   3.30968E-03
 3.02350E-09   9.99961E+01   1.39989E+00   2.34335E+00   1.58434E+00   3.71265E+00   3.75855E-03
 3.14950E-09   9.99948E+01   1.39985E+00   2.44019E+00   1.64981E+00   4.02585E+00   4.24610E-03
 3.27550E-09   9.99934E+01   1.39982E+00   2.53696E+00   1.71524E+00   4.35150E+00   4.77391E-03
 3.40150E-09   9.99921E+01   1.39978E+00   2.63367E+00   1.78063E+00   4.68959E+00   5.34354E-03
 3.52750E-09   9.99907E+01   1.39974E+00   2.73032E+00   1.84597E+00   5.04007E+00   5.95656E-03
 3.65350E-09   9.99893E+01   1.39970E+00   2.82689E+00   1.91126E+00   5.40294E+00   6.61452E-03
 3.77950E-09   9.99878E+01   1.39966E+00   2.92341E+00   1.97651E+00   5.77815E+00   7.31899E-03
 3.90550E-09   9.99863E+01   1.39962E+00   3.01985E+00   2.04172E+00   6.16570E+00   8.07151E-03
 4.03150E-09   9.99848E+01   1.39958E+00   3.11623E+00   2.10689E+00   6.56555E+00   8.87366E-03
 4.15750E-09   9.99833E+01   1.39953E+00   3.21255E+00   2.17200E+00   6.97767E+00   9.72696E-03
 4.28350E-09   9.99818E+01   1.39949E+00   3.30880E+00   2.23708E+00   7.40205E+00   1.06330E-02
 4.40950E-09   9.99802E+01   1.39945E+00   3.40499E+00   2.30211E+00   7.83865E+00   1.15932E-02
 4.53550E-09   9.99786E+01   1.39940E+00   3.50111E+00   2.36710E+00   8.28746E+00   1.26093E-02
 4.66150E-09   9.99769E+01   1.39935E+00   3.59716E+00   2.43204E+00   8.74843E+00   1.36826E-02
 4.78750E-09   9.99753E+01   1.39931E+00   3.69315E+00   2.49694E+00   9.22155E+00   1.48148E-02
 4.91350E-09   9.99736E+01   1.39926E+00   3.78907E+00   2.56179E+00   9.70679E+00   1.60074E-02
 5.03950E-09   9.99719E+01   1.39921E+00   3.88492E+00   2.62659E+00   1.02041E+01   1.72619E-02
 5.16550E-09   9.99701E+01   1.39916E+00   3.98072E+00   2.69136E+00   1.07135E+01   1.85799E-02
 5.29150E-09   9.99682E+01   1.39911E+00   4.07644E+00   2.75608E+00   1.12350E+01   1.99628E-02
 5.41750E-09   9.99663E+01   1.39906E+00   4.17211E+00   2.82076E+00   1.17685E+01   2.14121E-02
 5.54350E-09   9.99645E+01   1.39901E+00   4.26770E+00   2.88539E+00   1.23140E+01   2.29295E-02
 5.66950E-09   9.99626E+01   1.39895E+00   4.36323E+00   2.94998E+00   1.28714E+01   2.45163E-02
 5.79550E-09   9.99606E+01   1.39890E+00   4.45870E+00   3.01452E+00   1.34408E+01   2.61741E-02
 5.92150E-09   9.99587E+01   1.39884E+00   4.55409E+00   3.07902E+00   1.40221E+01   2.79045E-02
 6.04750E-09   9.99567E+01   1.39879E+00   4.64943E+00   3.14348E+00   1.46154E+01   2.97088E-02
 6.17350E-09   9.99547E+01   1.39873E+00   4.74470E+00   3.20789E+00   1.52205E+01   3.15887E-02
 6.29950E-09   9.99527E+01   1.39868E+00   4.83990E+00   3.27225E+00   1.58374E+01   3.35455E-02
 6.42550E-09   9.99508E+01   1.39862E+00   4.93503E+00   3.33658E+00   1.64661E+01   3.55808E-02
 6.55150E-09   9.99487E+01   1.39856E+00   5.03011E+00   3.40086E+00   1.71067E+01   3.76961E-02
 6.67750E-09   9.99466E+01   1.39851E+00   5.12511E+00   3.46509E+00   1.77590E+01   3.98928E-02
 6.80350E-09   9.99446E+01   1.39845E+00   5.22005E+00   3.52928E+00   1.84230E+01   4.21725E-02
 6.92950E-09   9.99425E+01   1.39839E+00   5.31493E+00   3.59343E+00   1.90988E+01   4.45366E-02
 7.05550E-09   9.99404E+01   1.39833E+00   5.40974E+00   3.65752E+00   1.97863E+01   4.69866E-02
 7.18150E-09   9.99383E+01   1.39827E+00   5.50448E+00   3.72158E+00   2.04854E+01   4.95239E-02
 7.30750E-09   9.99362E+01   1.39821E+00   5.59916E+00   3.78560E+00   2.11962E+01   5.21501E-02
 7.43350E-09   9.99340E+01   1.39815E+00   5.69378E+00   3.84956E+00   2.19185E+01   5.48666E-02
 7.55950E-09   9.99319E+01   1.39809E+00   5.78832E+00   3.91348E+00   2.26525E+01   5.76748E-02
 7.68550E-09   9.99297E+01   1.39803E+00   5.88280E+00   3.97736E+00   2.33980E+01   6.05762E-02
 7.81150E-09   9.99276E+01   1.39797E+00   5.97722E+00   4.04120E+00   2.41552E+01   6.35723E-02
 7.93750E-09   9.99253E+01   1.39791E+00   6.07159E+00   4.10500E+00   2.49238E+01   6.66646E-02
 8.06350E-09   9.99229E+01   1.39784E+00   6.16588E+00   4.16875E+00   2.57040E+01   6.98544E-02
 8.18950E-09   9.99197E+01   1.39775E+00   6.26010E+00   4.23246E+00   2.64956E+01   7.31433E-02
 8.31550E-09   9.99165E+01   1.39766E+00   6.35426E+00   4.29612E+00   2.72986E+01   7.65326E-02
 8.44150E-09   9.99133E+01   1.39757E+00   6.44835E+00   4.35973E+00   2.81131E+01   8.00238E-02
 8.56750E-09   9.99099E+01   1.39748E+00   6.54238E+00   4.42331E+00   2.89389E+01   8.36184E-02
 8.69350E-09   9.99066E+01   1.39739E+00   6.63634E+00   4.48683E+00   2.97762E+01   8.73177E-02
 8.81950E-09   9.99033E+01   1.39729E+00   6.73024E+00   4.55031E+00   3.06247E+01   9.11233E-02
 8.94550E-09   9.99000E+01   1.39720E+00   6.82407E+00   4.61375E+00   3.14846E+01   9.50365E-02
 9.07150E-09   9.98966E+01   1.39711E+00   6.91783E+00   4.67715E+00   3.23557E+01   9.90587E-02
 9.19750E-09   9.98932E+01   1.39701E+00   7.01153E+00   4.74050E+00   3.32381E+01   1.03191E-01
 9.32350E-09   9.98898E+01   1.39692E+00   7.10517E+00   4.80380E+00   3.41318E+01   1.07436E-01
 9.44950E-09   9.98864E+01   1.39682E+00   7.19874E+00   4.86707E+00   3.50367E+01   1.11794E-01
 9.57550E-09   9.98830E+01   1.39673E+00   7.29224E+00   4.93028E+00   3.59528E+01   1.16267E-01
 9.70150E-09   9.98795E+01   1.39663E+00   7.38568E+00   4.99346E+00   3.68800E+01   1.20856E-01
 9.82750E-09   9.98761E+01   1.39653E+00   7.47904E+00   5.05658E+00   3.78184E+01   1.25562E-01
 9.95350E-09   9.98724E+01   1.39643E+00   7.57235E+00   5.11966E+00   3.87679E+01   1.30387E-01
 1.00795E-08   9.98688E+01   1.39633E+00   7.66558E+00   5.18270E+00   3.97284E+01   1.35333E-01
 1.02055E-08   9.98652E+01   1.39623E+00   7.75876E+00   5.24570E+00   4.07001E+01   1.40400E-01
 1.03315E-08   9.98616E+01   1.39613E+00   7.85187E+00   5.30865E+00   4.16828E+01   1.45591E-01
 1.04575E-08   9.98580E+01   1.39603E+00   7.94492E+00   5.37156E+00   4.26766E+01   1.50906E-01
 1.05835E-08   9.98544E+01   1.39593E+00   8.03790E+00   5.43442E+00   4.36813E+01   1.56347E-01
 1.07095E-08   9.98507E+01   1.39582E+00   8.13081E+00   5.49724E+00   4.46970E+01   1.61915E-01
 1.08355E-08   9.98470E+01   1.39572E+00   8.22365E+00   5.56001E+00   4.57236E+01   1.67612E-01
 1.09615E-08   9.98433E+01   1.39561E+00   8.31643E+00   5.62274E+00   4.67611E+01   1.73439E-01
 1.10875E-08   9.98396E+01   1.39551E+00   8.40916E+00   5.68543E+00   4.78097E+01   1.79397E-01
 1.12135E-08   9.98358E+01   1.39541E+00   8.50179E+00   5.74806E+00   4.88687E+01   1.85488E-01
 1.13395E-08   9.98321E+01   1.39530E+00   8.59439E+00   5.81066E+00   4.99391E+01   1.91714E-01
 1.14655E-08   9.98283E+01   1.39520E+00   8.68692E+00   5.87323E+00   5.10203E+01   1.98075E-01
 1.15915E-08   9.98246E+01   1.39509E+00   8.77936E+00   5.93572E+00   5.21118E+01   2.04572E-01
 1.17175E-08   9.98207E+01   1.39498E+00   8.87173E+00   5.99818E+00   5.32142E+01   2.11208E-01
 1.18435E-08   9.98168E+01   1.39487E+00   8.96407E+00   6.06061E+00   5.43277E+01   2.17984E-01
 1.19695E-08   9.98129E+01   1.39477E+00   9.05635E+00   6.12300E+00   5.54520E+01   2.24900E-01
 1.20955E-08   9.98089E+01   1.39466E+00   9.14851E+00   6.18531E+00   5.65864E+01   2.31959E-01
 1.22215E-08   9.98050E+01   1.39455E+00   9.24063E+00   6.24759E+00   5.77317E+01   2.39162E-01
 1.23475E-08   9.98011E+01   1.39444E+00   9.33271E+00   6.30985E+00   5.88880E+01   2.46509E-01
 1.24735E-08   9.97971E+01   1.39433E+00   9.42472E+00   6.37205E+00   6.00548E+01   2.54003E-01
 1.25995E-08   9.97932E+01   1.39422E+00   9.51661E+00   6.43418E+00   6.12316E+01   2.61645E-01
 1.27255E-08   9.97892E+01   1.39410E+00   9.60849E+00   6.49630E+00   6.24196E+01   2.69435E-01
 1.28515E-08   9.97853E+01   1.39399E+00   9.70033E+00   6.55839E+00   6.36186E+01   2.77376E-01
 1.29775E-08   9.97813E+01   1.39388E+00   9.79208E+00   6.62043E+00   6.48277E+01   2.85469E-01
 1.31035E-08   9.97772E+01   1.39377E+00   9.88373E+00   6.68239E+00   6.60469E+01   2.93714E-01
 1.32295E-08   9.97732E+01   1.39366E+00   9.97533E+00   6.74432E+00   6.72769E+01   3.02114E-01
 1.33555E-08   9.97691E+01   1.39354E+00   1.00669E+01   6.80624E+00   6.85178E+01   3.10670E-01
 1.34815E-08   9.97650E+01   1.39343E+00   1.01584E+01   6.86809E+00   6.97687E+01   3.19382E-01
 1.36075E-08   9.97608E+01   1.39331E+00   1.02498E+01   6.92987E+00   7.10296E+01   3.28253E-01
 1.37335E-08   9.97558E+01   1.39317E+00   1.03411E+01   6.99163E+00   7.23013E+01   3.37283E-01
 1.38595E-08   9.97508E+01   1.39303E+00   1.04324E+01   7.05337E+00   7.35839E+01   3.46475E-01
 1.39855E-08   9.97458E+01   1.39289E+00   1.05236E+01   7.11504E+00   7.48761E+01   3.55828E-01
 1.41115E-08   9.97408E+01   1.39275E+00   1.06148E+01   7.17664E+00   7.61784E+01   3.65345E-01
 1.42375E-08   9.97357E+01   1.39261E+00   1.07059E+01   7.23823E+00   7.74914E+01   3.75027E-01
 1.43635E-08   9.97306E+01   1.39247E+00   1.07969E+01   7.29979E+00   7.88151E+01   3.84875E-01
 1.44895E-08   9.97255E+01   1.39232E+00   1.08878E+01   7.36127E+00   8.01483E+01   3.94890E-01
 1.46155E-08   9.97203E+01   1.39218E+00   1.09787E+01   7.42270E+00   8.14917E+01   4.05074E-01
 1.47415E-08   9.97150E+01   1.39203E+00   1.10695E+01   7.48412E+00   8.28457E+01   4.15428E-01
 1.48675E-08   9.97097E+01   1.39188E+00   1.11603E+01   7.54549E+00   8.42101E+01   4.25953E-01
 1.49935E-08   9.97045E+01   1.39174E+00   1.12510E+01   7.60679E+00   8.55838E+01   4.36650E-01
 1.51195E-08   9.96992E+01   1.39159E+00   1.13416E+01   7.66805E+00   8.69678E+01   4.47522E-01
 1.52455E-08   9.96939E+01   1.39144E+00   1.14322E+01   7.72928E+00   8.83623E+01   4.58568E-01
 1.53715E-08   9.96885E+01   1.39129E+00   1.15227E+01   7.79048E+00   8.97671E+01   4.69791E-01
 1.54975E-08   9.96831E+01   1.39114E+00   1.16131E+01   7.85160E+00   9.11812E+01   4.81191E-01
 1.56235E-08   9.96778E+01   1.39099E+00   1.17034E+01   7.91269E+00   9.26056E+01   4.92770E-01
 1.57495E-08   9.96724E+01   1.39084E+00   1.17937E+01   7.97375E+00   9.40404E+01   5.04530E-01
 1.58755E-08   9.96669E+01   1.39069E+00   1.18840E+01   8.03477E+00   9.54851E+01   5.16470E-01
 1.60015E-08   9.96615E+01   1.39054E+00   1.19741E+01   8.09571E+00   9.69391E+01   5.28594E-01
 1.61275E-08   9.96561E+01   1.39039E+00   1.20642E+01   8.15663E+00   9.84035E+01   5.40901E-01
 1.62535E-08   9.96507E+01   1.39024E+00   1.21543E+01   8.21752E+00   9.98782E+01   5.53393E-01
 1.63795E-08   9.96453E+01   1.39008E+00   1.22443E+01   8.27836E+00   1.01363E+02   5.66072E-01
 1.65055E-08   9.96398E+01   1.38993E+00   1.23342E+01   8.33912E+00   1.02856E+02   5.78938E-01
 1.66315E-08   9.96342E+01   1.38978E+00   1.24240E+01   8.39986E+00   1.04360E+02   5.91993E-01
 1.67575E-08   9.96286E+01   1.38962E+00   1.25138E+01   8.46058E+00   1.05874E+02   6.05239E-01
 1.68835E-08   9.96229E+01   1.38946E+00   1.26035E+01   8.52123E+00   1.07397E+02   6.18676E-01
 1.70095E-08   9.96173E+01   1.38930E+00   1.26931E+01   8.58181E+00   1.08930E+02   6.32305E-01
 1.71355E-08   9.96116E+01   1.38915E+00   1.27827E+01   8.64238E+00   1.10473E+02   6.46128E-01
 1.72615E-08   9.96059E+01   1.38899E+00   1.28722E+01   8.70292E+00   1.12026E+02   6.60146E-01
 1.73875E-08   9.96002E+01   1.38883E+00   1.29617E+01   8.76338E+00   1.13588E+02   6.74360E-01
 1.75135E-08   9.95945E+01   1.38867E+00   1.30510E+01   8.82379E+00   1.15159E+02   6.88772E-01
 1.76395E-08   9.95888E+01   1.38851E+00   1.31403E+01   8.88416E+00   1.16741E+02   7.03383E-01
 1.77655E-08   9.95830E+01   1.38835E+00   1.32296E+01   8.94453E+00   1.18332E+02   7.18193E-01
 1.78915E-08   9.95772E+01   1.38819E+00   1.33188E+01   9.00485E+00   1.19934E+02   7.33204E-01
 1.80175E-08   9.95715E+01   1.38803E+00   1.34079E+01   9.06510E+00   1.21544E+02   7.48418E-01
 1.81435E-08   9.95657E+01   1.38787E+00   1.34970E+01   9.12532E+00   1.23164E+02   7.63836E-01
 1.82695E-08   9.95599E+01   1.38770E+00   1.35860E+01   9.18552E+00   1.24795E+02   7.79458E-01
 1.83955E-08   9.95541E+01   1.38754E+00   1.36750E+01   9.24564E+00   1.26434E+02   7.95286E-01
 1.85215E-08   9.95482E+01   1.38738E+00   1.37638E+01   9.30571E+00   1.28082E+02   8.11321E-01
 1.86475E-08   9.95423E+01   1.38721E+00   1.38526E+01   9.36575E+00   1.29740E+02   8.27565E-01
 1.87735E-08   9.95364E+01   1.38705E+00   1.39414E+01   9.42576E+00   1.31408E+02   8.44018E-01
 1.88995E-08   9.95305E+01   1.38689E+00   1.40300E+01   9.48570E+00   1.33085E+02   8.60682E-01
 1.90255E-08   9.95246E+01   1.38672E+00   1.41186E+01   9.54560E+00   1.34771E+02   8.77557E-01
 1.91515E-08   9.95187E+01   1.38656E+00   1.42072E+01   9.60548E+00   1.36467E+02   8.94646E-01
 1.92775E-08   9.95127E+01   1.38639E+00   1.42957E+01   9.66531E+00   1.38172E+02   9.11949E-01
 1.94035E-08   9.95063E+01   1.38621E+00   1.43841E+01   9.72507E+00   1.39886E+02   9.29467E-01
 1.95295E-08   9.94994E+01   1.38602E+00   1.44724E+01   9.78479E+00   1.41609E+02   9.47202E-01
 1.96555E-08   9.94924E+01   1.38582E+00   1.45607E+01   9.84449E+00   1.43343E+02   9.65155E-01
 1.97815E-08   9.94852E+01   1.38562E+00   1.46489E+01   9.90415E+00   1.45085E+02   9.83327E-01
 1.99075E-08   9.94779E+01   1.38542E+00   1.47371E+01   9.96372E+00   1.46836E+02   1.00172E+00
 2.00335E-08   9.94707E+01   1.38522E+00   1.48251E+01   1.00233E+01   1.48596E+02   1.02033E+00
 2.01595E-08   9.94635E+01   1.38502E+00   1.49132E+01   1.00828E+01   1.50366E+02   1.03917E+00
 2.02855E-08   9.94562E+01   1.38482E+00   1.50011E+01   1.01423E+01   1.52145E+02   1.05823E+00
 2.04115E-08   9.94490E+01   1.38461E+00   1.50890E+01   1.02017E+01   1.53933E+02   1.07751E+00
 2.05375E-08   9.94418E+01   1.38441E+00   1.51768E+01   1.02610E+01   1.55730E+02   1.09702E+00
 2.06635E-08   9.94346E+01   1.38421E+00   1.52646E+01   1.03204E+01   1.57537E+02   1.11676E+00
 2.07895E-08   9.94273E+01   1.38401E+00   1.53523E+01   1.03797E+01   1.59352E+02   1.13672E+00
 2.09155E-08   9.94201E+01   1.38381E+00   1.54399E+01   1.04389E+01   1.61175E+02   1.15691E+00
 2.10415E-08   9.94129E+01   1.38361E+00   1.55274E+01   1.04981E+01   1.63009E+02   1.17734E+00
 2.11675E-08   9.94056E+01   1.38341E+00   1.56150E+01   1.05573E+01   1.64851E+02   1.19800E+00
 2.12935E-08   9.93984E+01   1.38321E+00   1.57024E+01   1.06164E+01   1.66702E+02   1.21888E+00
 2.14195E-08   9.93912E+01   1.38301E+00   1.57897E+01   1.06754E+01   1.68562E+02   1.24001E+00
 2.15455E-08   9.93840E+01   1.38280E+00   1.58770E+01   1.07344E+01   1.70431E+02   1.26136E+00
 2.16715E-08   9.93767E+01   1.38260E+00   1.59643E+01   1.07934E+01   1.72309E+02   1.28296E+00
 2.17975E-08   9.93695E+01   1.38240E+00   1.60514E+01   1.08524E+01   1.74196E+02   1.30479E+00
 2.19235E-08   9.93623E+01   1.38220E+00   1.61385E+01   1.09112E+01   1.76091E+02   1.32686E+00
 2.20495E-08   9.93550E+01   1.38200E+00   1.62255E+01   1.09701E+01   1.77996E+02   1.34916E+00
 2.21755E-08   9.93477E+01   1.38180E+00   1.63125E+01   1.10289E+01   1.79910E+02   1.37171E+00
 2.23015E-08   9.93403E+01   1.38159E+00   1.63994E+01   1.10877E+01   1.81831E+02   1.39450E+00
 2.24275E-08   9.93329E+01   1.38138E+00   1.64863E+01   1.11464E+01   1.83763E+02   1.41754E+00
 2.25535E-08   9.93255E+01   1.38118E+00   1.65731E+01   1.12051E+01   1.85703E+02   1.44081E+00
 2.26795E-08   9.93181E+01   1.38097E+00   1.66598E+01   1.12637E+01   1.87652E+02   1.46434E+00
 2.28055E-08   9.93107E+01   1.38077E+00   1.67465E+01   1.13223E+01   1.89608E+02   1.48811E+00
 2.29315E-08   9.93033E+01   1.38056E+00   1.68330E+01   1.13808E+01   1.91574E+02   1.51212E+00
 2.30575E-08   9.92959E+01   1.38035E+00   1.69195E+01   1.14393E+01   1.93547E+02   1.53638E+00
 2.31835E-08   9.92885E+01   1.38015E+00   1.70060E+01   1.14977E+01   1.95530E+02   1.56090E+00
 2.33095E-08   9.92810E+01   1.37994E+00   1.70924E+01   1.15562E+01   1.97522E+02   1.58566E+00
 2.34355E-08   9.92735E+01   1.37973E+00   1.71787E+01   1.16145E+01   1.99523E+02   1.61068E+00
 2.35615E-08   9.92661E+01   1.37953E+00   1.72650E+01   1.16728E+01   2.01531E+02   1.63594E+00
 2.36875E-08   9.92586E+01   1.37932E+00   1.73511E+01   1.17311E+01   2.03548E+02   1.66146E+00
 2.38135E-08   9.92511E+01   1.37911E+00   1.74373E+01   1.17893E+01   2.05574E+02   1.68724E+00
 2.39395E-08   9.92436E+01   1.37890E+00   1.75233E+01   1.18475E+01   2.07607E+02   1.71327E+00
 2.40655E-08   9.92361E+01   1.37869E+00   1.76093E+01   1.19056E+01   2.09649E+02   1.73956E+00
 2.41915E-08   9.92285E+01   1.37848E+00   1.76952E+01   1.19637E+01   2.11700E+02   1.76610E+00
 2.43175E-08   9.92210E+01   1.37827E+00   1.77811E+01   1.20218E+01   2.13761E+02   1.79291E+00
 2.44435E-08   9.92133E+01   1.37806E+00   1.78669E+01   1.20798E+01   2.15829E+02   1.81997E+00
 2.45695E-08   9.92057E+01   1.37785E+00   1.79526E+01   1.21378E+01   2.17905E+02   1.84730E+00
 2.46955E-08   9.91981E+01   1.37764E+00   1.80383E+01   1.21957E+01   2.19990E+02   1.87489E+00
 2.48215E-08   9.91904E+01   1.37742E+00   1.81240E+01   1.22536E+01   2.22084E+02   1.90274E+00
 2.49475E-08   9.91826E+01   1.37721E+00   1.82095E+01   1.23114E+01   2.24184E+02   1.93086E+00
 2.50735E-08   9.91748E+01   1.37699E+00   1.82949E+01   1.23692E+01   2.26293E+02   1.95924E+00
 2.51995E-08   9.91669E+01   1.37677E+00   1.83803E+01   1.24269E+01   2.28411E+02   1.98789E+00
 2.53255E-08   9.91587E+01   1.37654E+00   1.84657E+01   1.24847E+01   2.30539E+02   2.01680E+00
 2.54515E-08   9.91501E+01   1.37630E+00   1.85510E+01   1.25423E+01   2.32673E+02   2.04598E+00
 2.55775E-08   9.91413E+01   1.37606E+00   1.86362E+01   1.25999E+01   2.34815E+02   2.07544E+00
 2.57035E-08   9.91325E+01   1.37581E+00   1.87214E+01   1.26575E+01   2.36966E+02   2.10516E+00
 2.58295E-08   9.91236E+01   1.37557E+00   1.88065E+01   1.27151E+01   2.39126E+02   2.13515E+00
 2.59555E-08   9.91147E+01   1.37532E+00   1.88915E+01   1.27725E+01   2.41291E+02   2.16542E+00
 2.60815E-08   9.91059E+01   1.37508E+00   1.89764E+01   1.28299E+01   2.43466E+02   2.19596E+00
 2.62075E-08   9.90970E+01   1.37483E+00   1.90613E+01   1.28873E+01   2.45649E+02   2.22678E+00
 2.63335E-08   9.90881E+01   1.37458E+00   1.91462E+01   1.29447E+01   2.47842E+02   2.25787E+00
 2.64595E-08   9.90792E+01   1.37434E+00   1.92309E+01   1.30020E+01   2.50041E+02   2.28924E+00
 2.65855E-08   9.90703E+01   1.37409E+00   1.93156E+01   1.30593E+01   2.52248E+02   2.32088E+00
 2.67115E-08   9.90613E+01   1.37384E+00   1.94002E+01   1.31165E+01   2.54464E+02   2.35280E+00
 2.68375E-08   9.90524E+01   1.37359E+00   1.94848E+01   1.31737E+01   2.56686E+02   2.38501E+00
 2.69635E-08   9.90434E+01   1.37334E+00   1.95693E+01   1.32308E+01   2.58916E+02   2.41749E+00
 2.70895E-08   9.90345E+01   1.37310E+00   1.96537E+01   1.32878E+01   2.61155E+02   2.45026E+00
 2.72155E-08   9.90254E+01   1.37285E+00   1.97381E+01   1.33449E+01   2.63402E+02   2.48331E+00
 2.73415E-08   9.90164E+01   1.37259E+00   1.98224E+01   1.34019E+01   2.65659E+02   2.51664E+00
 2.74675E-08   9.90073E+01   1.37234E+00   1.99066E+01   1.34588E+01   2.67919E+02   2.55025E+00
 2.75935E-08   9.89982E+01   1.37209E+00   1.99907E+01   1.35157E+01   2.70188E+02   2.58416E+00
 2.77195E-08   9.89891E+01   1.37184E+00   2.00748E+01   1.35725E+01   2.72465E+02   2.61834E+00
 2.78455E-08   9.89800E+01   1.37158E+00   2.01587E+01   1.36293E+01   2.74750E+02   2.65282E+00
 2.79715E-08   9.89709E+01   1.37133E+00   2.02427E+01   1.36861E+01   2.77044E+02   2.68758E+00
 2.80975E-08   9.89617E+01   1.37108E+00   2.03267E+01   1.37429E+01   2.79349E+02   2.72264E+00
 2.82235E-08   9.89526E+01   1.37082E+00   2.04107E+01   1.37997E+01   2.81662E+02   2.75798E+00
 2.83495E-08   9.89433E+01   1.37057E+00   2.04946E+01   1.38564E+01   2.83982E+02   2.79362E+00
 2.84755E-08   9.89340E+01   1.37031E+00   2.05783E+01   1.39130E+01   2.86306E+02   2.82955E+00
 2.86015E-08   9.89248E+01   1.37005E+00   2.06620E+01   1.39696E+01   2.88640E+02   2.86577E+00
 2.87275E-08   9.89155E+01   1.36980E+00   2.07457E+01   1.40261E+01   2.90981E+02   2.90229E+00
 2.88535E-08   9.89061E+01   1.36954E+00   2.08292E+01   1.40826E+01   2.93328E+02   2.93910E+00
 2.89795E-08   9.88966E+01   1.36928E+00   2.09126E+01   1.41390E+01   2.95684E+02   2.97621E+00
 2.91055E-08   9.88872E+01   1.36902E+00   2.09960E+01   1.41954E+01   2.98047E+02   3.01362E+00
 2.92315E-08   9.88778E+01   1.36876E+00   2.10794E+01   1.42518E+01   3.00419E+02   3.05132E+00
 2.93575E-08   9.88684E+01   1.36849E+00   2.11627E+01   1.43081E+01   3.02798E+02   3.08932E+00
 2.94835E-08   9.88589E+01   1.36823E+00   2.12459E+01   1.43643E+01   3.05183E+02   3.12763E+00
 2.96095E-08   9.88494E+01   1.36797E+00   2.13290E+01   1.44206E+01   3.07577E+02   3.16623E+00
 2.97355E-08   9.88400E+01   1.36771E+00   2.14121E+01   1.44767E+01   3.09978E+02   3.20514E+00
 2.98615E-08   9.88305E+01   1.36745E+00   2.14951E+01   1.45328E+01   3.12385E+02   3.24435E+00
 2.99875E-08   9.88210E+01   1.36718E+00   2.15780E+01   1.45889E+01   3.14800E+02   3.28386E+00
 3.01135E-08   9.88115E+01   1.36692E+00   2.16609E+01   1.46450E+01   3.17223E+02   3.32368E+00
 3.02395E-08   9.88020E+01   1.36666E+00   2.17438E+01   1.47010E+01   3.19655E+02   3.36381E+00
 3.03655E-08   9.87925E+01   1.36639E+00   2.18266E+01   1.47569E+01   3.22093E+02   3.40424E+00
 3.04915E-08   9.87830E+01   1.36613E+00   2.19092E+01   1.48128E+01   3.24538E+02   3.44498E+00
 3.06175E-08   9.87733E+01   1.36586E+00   2.19919E+01   1.48687E+01   3.26991E+02   3.48603E+00
