Time (s)   V_cell (kV)              I_cell (kA)              
 3.17250E-09   0.00000E+00   0.00000E+00
 3.19750E-09   0.00000E+00   0.00000E+00
 3.22250E-09   0.00000E+00   0.00000E+00
 3.24750E-09   0.00000E+00   0.00000E+00
 3.27250E-09   0.00000E+00   0.00000E+00
 3.29750E-09   0.00000E+00   0.00000E+00
 3.32250E-09   0.00000E+00   0.00000E+00
 3.34750E-09   0.00000E+00   0.00000E+00
 3.37250E-09   0.00000E+00   0.00000E+00
 3.39750E-09   0.00000E+00   0.00000E+00
 3.42250E-09   0.00000E+00   0.00000E+00
 3.44750E-09   0.00000E+00   0.00000E+00
 3.47250E-09   0.00000E+00   0.00000E+00
 3.49750E-09   0.00000E+00   0.00000E+00
 3.52250E-09   0.00000E+00   0.00000E+00
 3.54750E-09   0.00000E+00   0.00000E+00
 3.57250E-09   0.00000E+00   0.00000E+00
 3.59750E-09   0.00000E+00   0.00000E+00
 3.62250E-09   0.00000E+00   0.00000E+00
 3.64750E-09   0.00000E+00   0.00000E+00
 3.67250E-09   0.00000E+00   0.00000E+00
 3.69750E-09   0.00000E+00   0.00000E+00
 3.72250E-09   0.00000E+00   0.00000E+00
 3.74750E-09   0.00000E+00   0.00000E+00
 3.77250E-09   0.00000E+00   0.00000E+00
 3.79750E-09   0.00000E+00   0.00000E+00
 3.82250E-09   0.00000E+00   0.00000E+00
 3.84750E-09   0.00000E+00   0.00000E+00
 3.87250E-09   0.00000E+00   0.00000E+00
 3.89750E-09   0.00000E+00   0.00000E+00
 3.92250E-09   0.00000E+00   0.00000E+00
 3.94750E-09   0.00000E+00   0.00000E+00
 3.97250E-09   0.00000E+00   0.00000E+00
 3.99750E-09   0.00000E+00   0.00000E+00
 4.02250E-09   0.00000E+00   0.00000E+00
 4.04750E-09   0.00000E+00   0.00000E+00
 4.07250E-09   0.00000E+00   0.00000E+00
 4.09750E-09   0.00000E+00   0.00000E+00
 4.12250E-09   0.00000E+00   0.00000E+00
 4.14750E-09   0.00000E+00   0.00000E+00
 4.17250E-09   0.00000E+00   0.00000E+00
 4.19750E-09   0.00000E+00   0.00000E+00
 4.22250E-09   0.00000E+00   0.00000E+00
 4.24750E-09   0.00000E+00   0.00000E+00
 4.27250E-09   0.00000E+00   0.00000E+00
 4.29750E-09   0.00000E+00   0.00000E+00
 4.32250E-09   0.00000E+00   0.00000E+00
 4.34750E-09   0.00000E+00   0.00000E+00
 4.37250E-09   0.00000E+00   0.00000E+00
 4.39750E-09   0.00000E+00   0.00000E+00
 4.42250E-09   0.00000E+00   0.00000E+00
 4.44750E-09   0.00000E+00   0.00000E+00
 4.47250E-09   0.00000E+00   0.00000E+00
 4.49750E-09   0.00000E+00   0.00000E+00
 4.52250E-09   0.00000E+00   0.00000E+00
 4.54750E-09   0.00000E+00   0.00000E+00
 4.57250E-09   0.00000E+00   0.00000E+00
 4.59750E-09   0.00000E+00   0.00000E+00
 4.62250E-09   0.00000E+00   0.00000E+00
