Time (s)   V_brick (kV)             E_brick (J)              E_ESR (J)                R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kA)             Q_brick                  V_out (kV)               P_out (MW)               E_out (J)                
 0.00000E+00   1.00000E+02   1.40000E+03   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.25500E-10   1.00000E+02   1.40000E+03   1.16670E-14   1.40241E+06   4.06463E-07   5.27962E-07   7.12446E-05   4.06733E-12   4.98712E-05   3.55306E-09   1.25645E-13
 2.51500E-10   1.00000E+02   1.40000E+03   1.83576E-13   4.53520E+05   2.14697E-06   9.28414E-07   2.20132E-04   2.14953E-11   1.54092E-04   3.39206E-08   1.97697E-12
 3.77500E-10   1.00000E+02   1.40000E+03   1.17433E-12   2.08844E+05   6.41826E-06   1.36813E-06   4.77547E-04   6.43031E-11   3.34283E-04   1.59636E-07   1.26466E-11
 5.03500E-10   1.00000E+02   1.40000E+03   4.87509E-12   1.14627E+05   1.47393E-05   1.84670E-06   8.68998E-04   1.47792E-10   6.08299E-04   5.28611E-07   5.25010E-11
 6.29500E-10   1.00000E+02   1.40000E+03   1.55790E-11   7.00798E+04   2.89373E-05   2.36180E-06   1.41934E-03   2.90436E-10   9.93541E-04   1.41018E-06   1.67774E-10
 7.55500E-10   1.00000E+02   1.40000E+03   4.16846E-11   4.61282E+04   5.11355E-05   2.91109E-06   2.15279E-03   5.13800E-10   1.50695E-03   3.24415E-06   4.48911E-10
 8.81500E-10   1.00000E+02   1.40000E+03   9.80103E-11   3.20487E+04   8.37408E-05   3.49248E-06   3.09285E-03   8.42454E-10   2.16499E-03   6.69599E-06   1.05550E-09
 1.00750E-09   1.00000E+02   1.40000E+03   2.08785E-10   2.32083E+04   1.29430E-04   4.10411E-06   4.26230E-03   1.30389E-09   2.98361E-03   1.27170E-05   2.24846E-09
 1.13350E-09   1.00000E+02   1.40000E+03   4.11369E-10   1.73673E+04   1.91137E-04   4.74432E-06   5.68315E-03   1.92841E-09   3.97820E-03   2.26087E-05   4.43013E-09
 1.25950E-09   1.00000E+02   1.40000E+03   7.60744E-10   1.33482E+04   2.72033E-04   5.41164E-06   7.37658E-03   2.74905E-09   5.16361E-03   3.80898E-05   8.19262E-09
 1.38550E-09   1.00000E+02   1.40000E+03   1.33480E-09   1.04892E+04   3.75519E-04   6.10475E-06   9.36294E-03   3.80145E-09   6.55406E-03   6.13653E-05   1.43747E-08
